"Время, ч","AL, матрица на границе, ат.%","AL, выделение на границе, ат.%","CR, матрица на границе, ат.%","CR, выделение на границе, ат.%","MO, матрица на границе, ат.%","MO, выделение на границе, ат.%","NB, матрица на границе, ат.%","NB, выделение на границе, ат.%","NI, матрица на границе, ат.%","NI, выделение на границе, ат.%","TI, матрица на границе, ат.%","TI, выделение на границе, ат.%"
0.00024179398036724834,1.2264184429786151,0.4445901462446762,24.304108752189432,1.7864266872148684,2.1101470550061547,0.5451557251863515,0.24790248052661426,16.380782105799494,49.08418356610677,73.37092451207245,0.08301403550390153,5.836906334867285
0.00027259565628196816,1.2262950252249327,0.4449950251080594,24.30268004987038,1.786951419535483,2.109971474576956,0.545596650239491,0.2480044141192173,16.38228515975597,49.08545081226458,73.37050360789948,0.08295485000955732,5.834030243310064
0.0003113718757013508,1.2259055748482703,0.4462768430854557,24.29818595799808,1.7886091191806779,2.109418258644974,0.5469908856272389,0.24832611322572118,16.38703166692551,49.089436591775005,73.36917230831742,0.08276794693743525,5.824942088128685
0.0003615015651221348,1.2246716890555451,0.4503806559834283,24.28410102460783,1.7938793545698322,2.107674405901014,0.5514367799435362,0.2493455065039789,16.40210626353193,49.10192170788432,73.36492256889157,0.08217430515937589,5.796022525621289
0.0003864152127308854,1.2232155239086016,0.45530816273735025,24.267805811474734,1.8001323364170496,2.1056350219576756,0.5567383435287754,0.25054806278868436,16.419967292138498,49.11634679716699,73.35984408883888,0.08147075453881678,5.761649918144153
0.0004041745930341992,1.221741040072096,0.46038820449456686,24.25164002199902,1.806499302581892,2.103589331451593,0.5621650873234039,0.25176509942016906,16.43811549080626,49.13063946101232,73.35463604795218,0.08075595539899603,5.726598065823573
0.0004185495044196188,1.2196540731918484,0.4676843783302813,24.228505354307178,1.8155929710664425,2.1006891417504288,0.5699435382681257,0.2534995165223955,16.463714151080307,49.15121017802695,73.34721892432718,0.07975255011379659,5.676788237729918
0.0004309052215467298,1.2175152767854367,0.4753869720496052,24.205820552913856,1.8249886277773766,2.0977735746110997,0.578048043878898,0.2552714550569929,16.490167186830885,49.17131826550965,73.33944873958647,0.07871393696743978,5.625088682045827
0.00044188007326219207,1.2153514261467933,0.48335014397439846,24.183331122554954,1.834557881137687,2.0948536078470044,0.5863576294683891,0.25706271156165705,16.516934223538012,49.191239762149536,73.33148102714648,0.077665140677124,5.572435249337666
0.00045184344681729286,1.2131469774902515,0.4916532605094681,24.16105288634884,1.8443698082971698,2.0919173824128836,0.5949384405074573,0.2588833229107467,16.544237992722337,49.21094521681594,73.32324197287664,0.07659673672002451,5.518390398429853
0.000461030071240867,1.2109008020864778,0.5003061798550053,24.138972165546914,1.8544274039819624,2.08896393465034,0.6037955914136677,0.2607331271379749,16.572061568641566,49.230448615292914,73.31472916864689,0.0755098337870995,5.462953064950587
0.00046959990283143495,1.20861231102853,0.5093168614984158,24.117078290559206,1.8647312002228484,2.085992948727648,0.6129320677620756,0.26261154906014395,16.60038059979727,49.24976176710009,73.3059425073286,0.07440581645323976,5.406136110109091
0.00047766753616191866,1.2062815013405583,0.5186910470041137,24.09536338425534,1.8752790653967824,2.083004774158144,0.6223484868168747,0.26451758797580266,16.629163122731377,49.26889453758234,73.2968844179581,0.07328634440006063,5.3479672672418515
0.0004853182836547038,1.2039090196468805,0.528431846995822,24.073822356983353,1.886065924163004,2.0800004687283864,0.6320427809006639,0.26644979268942587,16.658369230707095,49.28785488913328,73.28756016773605,0.07215335643960857,5.288490483950805
0.0004926176293226475,1.201496237382613,0.5385392799399622,24.052453001002185,1.897083450953701,2.076981849772329,0.6420098493921603,0.2684062336851511,16.687950756517196,49.306648820673566,73.27797818408692,0.07100907333217096,5.227767356303746
0.0004996171096696974,1.1990453216627612,0.5490097907516904,24.031256113359508,1.9083197767536493,2.0739515432445366,0.6522412132988672,0.27038447884686934,16.71785106923792,49.3252802699534,73.26815036319331,0.06985599576448766,5.165878453399698
0.0005063581411921955,1.1965593004000243,0.5598357922908618,24.010235602697293,1.9197592475229386,2.0709130197276675,0.6627247091204244,0.27238157872909996,16.748005085240038,49.3437510080366,73.25809232711032,0.06869689408291599,5.102924313700368
0.0005128746054624837,1.1940421051748882,0.5710052577811024,23.98939855423326,1.9313822653835275,2.067870612164352,0.6734442520471224,0.27439406501679775,16.778339552087253,49.36206054592061,73.24782359956738,0.06753478798231004,5.039025965166234
0.0005191946498796767,1.1914985950687815,0.5825014161999625,23.968755205281234,1.9431652497403382,2.0648295040585047,0.6843797067009351,0.27641796748687114,16.80877367642308,49.38020609167516,73.23736766421645,0.0663729142303822,4.974324770517219
0.0005253419752037731,1.1889345370898472,0.5943025839927331,23.948318826730887,1.9550807499256295,2.0617956853278976,0.6955068987113588,0.27844885197181235,16.839220136505627,49.39818255858873,73.22675187262139,0.06521468133248494,4.908981458587397
0.0005313367769126325,1.1863565574365902,0.6063821837774332,23.92810546867693,1.9670977313610813,2.0587758676727024,0.7067977943564304,0.2804818821569997,16.869586490303558,49.415982664473624,73.21600718063159,0.06406361170297052,4.843174230867762
0.0005371964466788818,1.1837720407922974,0.6187089694846959,23.90813358155196,1.9791820477255722,2.0557773610973733,0.7182208655835958,0.28251190446640134,16.89977695735557,49.43359711091607,73.20516769815251,0.06292327251598342,4.7770959157180135
0.0005429361038144337,1.1811889904032815,0.6312474817127495,23.888423499383112,1.9912970949393185,2.052807911592888,0.7297416436088371,0.2845335546374429,16.929694512028192,49.451014865180056,73.19427005670185,0.06179719818971253,4.710950209817791
0.0005485690037007695,1.178615848630932,0.6439587249675632,23.868996817510595,2.0034046221780186,2.049875507864015,0.7413234438298612,0.28654138075391666,16.959243182946953,49.46822352181413,73.18335261643864,0.060688808552147484,4.644947162546389
0.0005541068556335106,1.1760612863004083,0.6568010392691133,23.849875681997045,2.015465659721808,2.0469881664763823,0.752928228132879,0.2885299763746603,16.988330422272366,49.48520974395596,73.17245455316494,0.05960132771919755,4.579298141384943
0.0005595600729931581,1.1735339764172106,0.669731115446389,23.831082043998695,2.027441503238295,2.044153710079524,0.7645175500142208,0.29049411481649023,17.016869383073164,49.50195975100362,73.16161488401234,0.05853770928752117,4.514210605980045
0.0005649379721596078,1.1710423632026938,0.6827050932018914,23.812636926102957,2.0392946949100126,2.0413795525195484,0.7760535259209567,0.29242887642301874,17.044780967148455,49.51845981952589,73.15087148999449,0.05750057223079025,4.449883005852614
0.0005702489322576489,1.1685944480666992,0.695679661218959,23.79455974188827,2.050989928163112,2.03867250573354,0.7874997601950696,0.29432975974843184,17.071995489022488,49.53469677366925,73.1402602096302,0.056492152450030086,4.386500182902094
0.0005755005246866431,1.1661976006498713,0.7086130880925192,23.7768677268124,2.062494823027749,2.036038621433619,0.7988221677922562,0.29619277017527706,17.098453874248317,49.550658420546924,73.1298140562207,0.05551427192289648,4.324229540817676
0.0005806996191935107,1.1638584101703753,0.721466120761401,23.75957549193259,2.073780528002251,2.033483074107889,0.8099896459981043,0.29801448195816577,17.124108339028133,49.56633392093993,73.11956260469084,0.05456832661049784,4.263218190798823
0.0005858524716067991,1.1615825785656568,0.7342027007478816,23.742694741810666,2.084822124739293,2.0310100922638528,0.8209745647874183,0.29979207150202813,17.148922554132387,49.58171406045825,73.10953157222215,0.053655292105032136,4.203591174459322
0.0005909647972133303,1.1593748639940917,0.7467904840142686,23.72623413116455,2.0955988354576878,2.0286229327760763,0.8317530698070961,0.30152332416712746,17.172871351910032,49.59679142629136,73.09974259304909,0.05277574444719095,4.14545072544383
