"Температура, °C","Доля расплава, %","AL, ат.%","AL, мас.%","CR, ат.%","CR, мас.%","NI, ат.%","NI, мас.%"
1413.0555555555557,5.262660688347176,11.409748761540191,5.654809341086684,9.43084078127919,9.007318075388856,79.15941045718063,85.33787258352446
1406.1111111111113,1.4351319204266022,12.46340431875811,6.219683197814377,10.019237738171553,9.635393672174912,77.51735794307034,84.14492313001072
1399.166666666667,0.5676047427193409,13.459879821688192,6.760397262585545,10.488753083011757,10.15215168379443,76.05136709530005,83.08745105362001
1392.2222222222226,0.276196790938088,14.40575196183069,7.279523509356631,10.864441848999395,10.579804462275213,74.72980618916992,82.14067202836816
1385.2777777777783,0.15367197496959362,15.306512716845422,7.779238096642345,11.164799075442351,10.934902634376776,73.52868820771222,81.28585926898087
1378.333333333334,0.09393442830538667,16.166780729653937,8.261389855125408,11.403773626661957,11.230041414659578,72.4294456436841,80.50856873021502
1371.3888888888896,0.06156177020258946,16.990469759812026,8.727558201197636,11.592088895815385,11.474988823734542,71.41744134437259,79.79745297506781
1364.4444444444453,0.04256777088772479,17.780921942672407,9.179100837807333,11.738129733127446,11.677448800248776,70.48094832420014,79.14345036194389
1357.500000000001,0.030711193560595262,18.541012933904867,9.617192478184105,11.8485517874901,11.843588879671115,69.61043527860504,78.53921864214477
1350.5555555555566,0.02293320266897325,19.2732349751671,10.042856079734717,11.928709172563092,11.978412765339872,68.79805585226981,77.97873115492541
1343.6111111111122,0.01725973785414725,19.918822074014585,10.422774303665948,12.100306367483968,12.201669263403868,67.98087155850145,77.3755564329302
1336.6666666666679,0.005453932516774618,19.795384922280157,10.37238590501553,13.739690836790578,13.873782350583527,66.46492424092928,75.75383174440094
1336.6666666666679,0.0,19.795384922280157,10.37238590501553,13.739690836790578,13.873782350583527,66.46492424092928,75.75383174440094
