,"Радиус класса, нм","Число частиц в классе, 1/м³"
150,2.0065000000000004,9.5450945584899062e+21
151,2.0195000000000003,2.8157569034480769e+21
152,2.0325000000000002,8.0754748524393791e+20
153,2.0455000000000005,2.2586205172578301e+20
154,2.0585000000000004,6.184784457988567e+19
155,2.0715000000000003,1.6644989331677041e+19
156,2.0845000000000002,4.4168307175057833e+18
157,2.0975000000000001,1.1585635532631419e+18
158,2.1105,3.0102373994664992e+17
159,2.1235000000000004,77598650615113568
160,2.1365000000000003,19870519513700252
161,2.1495000000000006,5058662278549297
162,2.1625000000000005,1281026425051121
163,2.1755,322755468501815.62
164,2.1885000000000003,80904659944718.047
165,2.2015000000000002,20172827195323.621
166,2.2145000000000006,5001536550625.8857
167,2.2275000000000005,1232528320546.5073
168,2.2405000000000004,301746722374.80597
169,2.2535000000000003,73355550718.334885
170,2.2665000000000002,17699827115.491535
171,2.2795000000000001,4237086176.9522214
172,2.2925000000000004,1005922553.8993169
173,2.3055000000000003,236766157.22205904
174,2.3185000000000002,55234916.879829645
175,2.3315000000000006,12768773.6780666
176,2.3445000000000005,2924471.9260233226
177,2.3575000000000008,663504.75056694157
178,2.3705000000000003,149098.6720654603
179,2.3835000000000002,33174.950226340683
180,2.3965000000000001,7301.2215286011706
181,2.4095000000000004,1581.6643649893851
182,2.4225000000000003,329.41839063751542
183,2.4355000000000007,57.979243980384034
184,2.4485000000000006,0
185,2.4615,0
186,2.4745000000000004,0
