[107/130] h_phase_reference_al: снят, 12.8 с, пик 0.24 ГиБ, всего 64.3 мин
[108/130] h_phase_reference_fe: снят, 17.3 с, пик 0.26 ГиБ, всего 64.5 мин
[109/130] h_batch_fe08: снят, 35.2 с, пик 0.84 ГиБ, всего 65.1 мин
[110/130] sh_density_nicr_on: снят, 25.5 с, пик 0.43 ГиБ, всего 65.6 мин
[111/130] sh_density_t_nicr_on: снят, 31.6 с, пик 1.09 ГиБ, всего 66.1 мин
[112/130] sh_elastic_nicr_on: снят, 22.9 с, пик 0.45 ГиБ, всего 66.5 мин
[113/130] sh_density_nicr_off: снят, 19.8 с, пик 0.43 ГиБ, всего 66.8 мин
[114/130] sh_density_t_nicr_off: снят, 29.5 с, пик 1.09 ГиБ, всего 67.3 мин
[115/130] sh_elastic_nicr_off: снят, 20.3 с, пик 0.45 ГиБ, всего 67.6 мин
[116/130] sh_density_nialcr_on: снят, 19.8 с, пик 0.49 ГиБ, всего 68.0 мин
[117/130] sh_density_t_nialcr_on: снят, 37.7 с, пик 2.41 ГиБ, всего 68.6 мин
[118/130] sh_elastic_nialcr_on: снят, 23.4 с, пик 0.51 ГиБ, всего 69.0 мин
[119/130] sh_density_nialcr_off: снят, 21.9 с, пик 0.49 ГиБ, всего 69.3 мин
[120/130] sh_density_t_nialcr_off: снят, 37.2 с, пик 2.41 ГиБ, всего 70.0 мин
[121/130] sh_elastic_nialcr_off: снят, 22.9 с, пик 0.51 ГиБ, всего 70.3 мин
[122/130] sh_density_fecrc_on: снят, 25.4 с, пик 0.61 ГиБ, всего 70.8 мин
[123/130] sh_density_t_fecrc_on: снят, 59.1 с, пик 2.88 ГиБ, всего 71.8 мин
[124/130] sh_elastic_fecrc_on: снят, 27.5 с, пик 0.63 ГиБ, всего 72.2 мин
[125/130] sh_density_fecrc_off: снят, 27.5 с, пик 0.61 ГиБ, всего 72.7 мин
[126/130] sh_density_t_fecrc_off: снят, 61.6 с, пик 2.88 ГиБ, всего 73.7 мин
[127/130] sh_elastic_fecrc_off: снят, 29.0 с, пик 0.63 ГиБ, всего 74.2 мин
[128/130] sh_solid_nicr: снят, 28.0 с, пик 0.49 ГиБ, всего 74.6 мин
[129/130] sh_solid_nialcr: снят, 34.1 с, пик 0.61 ГиБ, всего 75.2 мин
[130/130] sh_solid_fecrc: снят, 53.9 с, пик 1.44 ГиБ, всего 76.1 мин
exit=0
