B узла, масс. %;SI узла, масс. %;узел;оси задания;T, °C;режим;элемент;в сплаве, масс. %;собрано из фаз, масс. %;невязка, масс. %
0,0;1,0;"B=0; Si=1";ось кремния;700,0;служба;C;0,005;0,0049999865745378735;-1,3425462126563648e-08
0,0;1,0;"B=0; Si=1";ось кремния;700,0;служба;FE;0,5;0,5000000000423416;4,234157469085176e-11
0,0;1,0;"B=0; Si=1";ось кремния;700,0;служба;MN;0,5;0,49999999344717966;-6,552820341898524e-09
0,0;1,0;"B=0; Si=1";ось кремния;700,0;служба;NB;0,06;0,06000000008454822;8,454822258974204e-11
0,0;1,0;"B=0; Si=1";ось кремния;700,0;служба;S;0,02;0,019999995766094465;-4,23390553519476e-09
0,0;1,0;"B=0; Si=1";ось кремния;700,0;служба;TI;0,1;0,09999999766666749;-2,333332513315689e-09
0,0;1,0;"B=0; Si=1";ось кремния;750,0;служба;NI;61,064999;61,06499909580082;9,580082149795999e-08
0,0;1,0;"B=0; Si=1";ось кремния;750,0;служба;CR;23,5;23,499999973308118;-2,6691882482055007e-08
0,0;1,0;"B=0; Si=1";ось кремния;750,0;служба;MO;13,0;12,999999937338096;-6,266190410997297e-08
0,0;1,0;"B=0; Si=1";ось кремния;750,0;служба;B;1e-06;9,988409161167455e-07;-1,159083883254406e-09
0,0;1,0;"B=0; Si=1";ось кремния;750,0;служба;SI;1,0;1,000000003291627;3,2916269709915014e-09
0,0;1,0;"B=0; Si=1";ось кремния;750,0;служба;AL;0,25;0,2500000007454702;7,454701855813539e-10
0,0;1,0;"B=0; Si=1";ось кремния;750,0;служба;C;0,005;0,004999998788763103;-1,2112368972388987e-09
0,0;1,0;"B=0; Si=1";ось кремния;750,0;служба;FE;0,5;0,5000000019450869;1,945086869348245e-09
0,0;1,0;"B=0; Si=1";ось кремния;750,0;служба;MN;0,5;0,4999999937968052;-6,2031947911656005e-09
0,0;1,0;"B=0; Si=1";ось кремния;750,0;служба;NB;0,06;0,06000000019300862;1,9300862297289e-10
0,0;1,0;"B=0; Si=1";ось кремния;750,0;служба;S;0,02;0,01999999560039143;-4,399608569821689e-09
0,0;1,0;"B=0; Si=1";ось кремния;750,0;служба;TI;0,1;0,10000000035088366;3,50883655464429e-10
0,0;1,0;"B=0; Si=1";ось кремния;1050,0;пайка и ТО;NI;61,064999;61,06499901491271;1,4912707513303758e-08
0,0;1,0;"B=0; Si=1";ось кремния;1050,0;пайка и ТО;CR;23,5;23,499999997739188;-2,2608119820688444e-09
0,0;1,0;"B=0; Si=1";ось кремния;1050,0;пайка и ТО;MO;13,0;12,999999997247702;-2,7522979451077845e-09
0,0;1,0;"B=0; Si=1";ось кремния;1050,0;пайка и ТО;B;1e-06;1,0000407779214467e-06;4,077792144670268e-11
0,0;1,0;"B=0; Si=1";ось кремния;1050,0;пайка и ТО;SI;1,0;1,0000000000636953;6,369527127958463e-11
0,0;1,0;"B=0; Si=1";ось кремния;1050,0;пайка и ТО;AL;0,25;0,249999988333624;-1,1666376004138002e-08
0,0;1,0;"B=0; Si=1";ось кремния;1050,0;пайка и ТО;C;0,005;0,005000000378704602;3,787046015321649e-10
0,0;1,0;"B=0; Si=1";ось кремния;1050,0;пайка и ТО;FE;0,5;0,49999999981836635;-1,8163365256285147e-10
0,0;1,0;"B=0; Si=1";ось кремния;1050,0;пайка и ТО;MN;0,5;0,500000000727233;7,272330515561976e-10
0,0;1,0;"B=0; Si=1";ось кремния;1050,0;пайка и ТО;NB;0,06;0,05999999999890607;-1,0939305017387824e-12
0,0;1,0;"B=0; Si=1";ось кремния;1050,0;пайка и ТО;S;0,02;0,020000000758424705;7,584247049829962e-10
0,0;1,0;"B=0; Si=1";ось кремния;1050,0;пайка и ТО;TI;0,1;0,09999999998066852;-1,9331480860529382e-11
0,0;1,0;"B=0; Si=1";ось кремния;1150,0;пайка и ТО;NI;61,064999;61,064998997103416;-2,8965843057449092e-09
0,0;1,0;"B=0; Si=1";ось кремния;1150,0;пайка и ТО;CR;23,5;23,499999999009617;-9,90382886811858e-10
0,0;1,0;"B=0; Si=1";ось кремния;1150,0;пайка и ТО;MO;13,0;12,999999999190612;-8,093881120885271e-10
0,0;1,0;"B=0; Si=1";ось кремния;1150,0;пайка и ТО;B;1e-06;1,0000447887339233e-06;4,478873392339347e-11
0,0;1,0;"B=0; Si=1";ось кремния;1150,0;пайка и ТО;SI;1,0;0,9999999999420105;-5,7989502089128564e-11
0,0;1,0;"B=0; Si=1";ось кремния;1150,0;пайка и ТО;AL;0,25;0,24999999997651404;-2,3485963174252333e-11
0,0;1,0;"B=0; Si=1";ось кремния;1150,0;пайка и ТО;C;0,005;0,004999999999587261;-4,1273928719220976e-13
0,0;1,0;"B=0; Si=1";ось кремния;1150,0;пайка и ТО;FE;0,5;0,49999999998208566;-1,79143366807466e-11
0,0;1,0;"B=0; Si=1";ось кремния;1150,0;пайка и ТО;MN;0,5;0,5000000028504834;2,8504834048703742e-09
0,0;1,0;"B=0; Si=1";ось кремния;1150,0;пайка и ТО;NB;0,06;0,05999999999772015;-2,279849919961663e-12
0,0;1,0;"B=0; Si=1";ось кремния;1150,0;пайка и ТО;S;0,02;0,02000000190671449;1,906714491156647e-09
0,0;1,0;"B=0; Si=1";ось кремния;1150,0;пайка и ТО;TI;0,1;0,09999999999645151;-3,5484948313069253e-12
0,0;1,0;"B=0; Si=1";ось кремния;1200,0;пайка и ТО;NI;61,064999;61,06499899482736;-5,172637429495808e-09
0,0;1,0;"B=0; Si=1";ось кремния;1200,0;пайка и ТО;CR;23,5;23,499999998496133;-1,5038672529499308e-09
0,0;1,0;"B=0; Si=1";ось кремния;1200,0;пайка и ТО;MO;13,0;12,999999999681567;-3,184332797445677e-10
0,0;1,0;"B=0; Si=1";ось кремния;1200,0;пайка и ТО;B;1e-06;1,000036080832974e-06;3,608083297411954e-11
0,0;1,0;"B=0; Si=1";ось кремния;1200,0;пайка и ТО;SI;1,0;0,999999999986091;-1,3908985074806424e-11
0,0;1,0;"B=0; Si=1";ось кремния;1200,0;пайка и ТО;AL;0,25;0,2499999995012754;-4,987245894039205e-10
0,0;1,0;"B=0; Si=1";ось кремния;1200,0;пайка и ТО;C;0,005;0,005000000000490744;4,907437303747209e-13
0,0;1,0;"B=0; Si=1";ось кремния;1200,0;пайка и ТО;FE;0,5;0,49999999996476063;-3,523936698002217e-11
0,0;1,0;"B=0; Si=1";ось кремния;1200,0;пайка и ТО;MN;0,5;0,5000000047418858;4,741885772929777e-09
0,0;1,0;"B=0; Si=1";ось кремния;1200,0;пайка и ТО;NB;0,06;0,05999999999336163;-6,638370408929006e-12
0,0;1,0;"B=0; Si=1";ось кремния;1200,0;пайка и ТО;S;0,02;0,020000002782240213;2,782240212523268e-09
0,0;1,0;"B=0; Si=1";ось кремния;1200,0;пайка и ТО;TI;0,1;0,09999999998876032;-1,1239689734487968e-11
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;700,0;служба;NI;60,064999;60,0649990319886;3,198859843678292e-08
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;700,0;служба;CR;23,5;23,499999975795976;-2,420402367420138e-08
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;700,0;служба;MO;13,0;12,999999981355089;-1,8644911392584618e-08
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;700,0;служба;B;1e-06;1,0032934932720566e-06;3,2934932720566496e-09
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;700,0;служба;SI;2,0;2,0000000039864045;3,986404539801924e-09
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;700,0;служба;AL;0,25;0,2500000021725966;2,1725966026231447e-09
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;700,0;служба;C;0,005;0,004999996917252002;-3,0827479978456918e-09
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;700,0;служба;FE;0,5;0,5000000010002684;1,000268423645423e-09
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;700,0;служба;MN;0,5;0,5000000025052489;2,5052488972221454e-09
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;700,0;служба;NB;0,06;0,0600000001102311;1,1023110202401654e-10
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;700,0;служба;S;0,02;0,02000000071010995;7,101099500084196e-10
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;700,0;служба;TI;0,1;0,10000000016474388;1,6474387132259238e-10
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;750,0;служба;NI;60,064999;60,064999016983954;1,6983953798899165e-08
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;750,0;служба;CR;23,5;23,50000006882304;6,882304148803087e-08
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;750,0;служба;MO;13,0;12,999999951348727;-4,86512732322808e-08
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;750,0;служба;B;1e-06;1,0025698136560717e-06;2,569813656071764e-09
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;750,0;служба;SI;2,0;2,0000000038126826;3,812682614068308e-09
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;750,0;служба;AL;0,25;0,25000000052148547;5,214854659207901e-10
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;750,0;служба;C;0,005;0,005000005944800127;5,9448001269932216e-09
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;750,0;служба;FE;0,5;0,5000000009758144;9,758144292604243e-10
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;750,0;служба;MN;0,5;0,4999999678014618;-3,2198538224559314e-08
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;750,0;служба;NB;0,06;0,06000000011620776;1,1620776563248114e-10
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;750,0;служба;S;0,02;0,019999980914965496;-1,9085034504151555e-08
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;750,0;служба;TI;0,1;0,10000000018703799;1,87037982324334e-10
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;1050,0;пайка и ТО;NI;60,064999;60,064998921288925;-7,87110749911335e-08
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;1050,0;пайка и ТО;CR;23,5;23,500000004613185;4,613184501067735e-09
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;1050,0;пайка и ТО;MO;13,0;13,000000076018637;7,601863671879983e-08
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;1050,0;пайка и ТО;B;1e-06;9,998187536162759e-07;-1,8124638372409572e-10
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;1050,0;пайка и ТО;SI;2,0;1,999999995389145;-4,610855031117467e-09
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;1050,0;пайка и ТО;AL;0,25;0,24999999693595248;-3,064047515710655e-09
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;1050,0;пайка и ТО;C;0,005;0,0050000014532752615;1,4532752614163091e-09
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;1050,0;пайка и ТО;FE;0,5;0,5000000025232751;2,523275144383774e-09
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;1050,0;пайка и ТО;MN;0,5;0,500000000334371;3,3437097535227167e-10
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;1050,0;пайка и ТО;NB;0,06;0,05999999986031054;-1,3968945444808867e-10
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;1050,0;пайка и ТО;S;0,02;0,020000001982998634;1,9829986333541605e-09
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;1050,0;пайка и ТО;TI;0,1;0,09999999978116739;-2,1883261869248827e-10
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;1150,0;пайка и ТО;NI;60,064999;60,06499900388291;3,882909993535577e-09
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;1150,0;пайка и ТО;CR;23,5;23,500000000215984;2,1598367538899765e-10
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;1150,0;пайка и ТО;MO;13,0;12,999999993576997;-6,423002574251768e-09
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;1150,0;пайка и ТО;B;1e-06;1,0000045305793416e-06;4,530579341652206e-12
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;1150,0;пайка и ТО;SI;2,0;2,0000000004958847;4,95884666662505e-10
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;1150,0;пайка и ТО;AL;0,25;0,2500000035234781;3,5234781203818955e-09
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;1150,0;пайка и ТО;C;0,005;0,004999999728093613;-2,7190638716284576e-10
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;1150,0;пайка и ТО;FE;0,5;0,5000000000442009;4,420086519019151e-11
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;1150,0;пайка и ТО;MN;0,5;0,49999999918574156;-8,142584384529528e-10
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;1150,0;пайка и ТО;NB;0,06;0,06000000002157541;2,157541506564442e-11
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;1150,0;пайка и ТО;S;0,02;0,01999999934655055;-6,534494507992594e-10
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;1150,0;пайка и ТО;TI;0,1;0,09999999997406471;-2,593529557781693e-11
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;1200,0;пайка и ТО;NI;60,064999;60,06499899563325;-4,36674696402406e-09
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;1200,0;пайка и ТО;CR;23,5;23,499999998411383;-1,5886172377577168e-09
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;1200,0;пайка и ТО;MO;13,0;12,99999999922949;-7,705107663014132e-10
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;1200,0;пайка и ТО;B;1e-06;1,000093087804951e-06;9,308780495110389e-11
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;1200,0;пайка и ТО;SI;2,0;1,9999999998651163;-1,3488365979696937e-10
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;1200,0;пайка и ТО;AL;0,25;0,25000000000748973;7,489731057575e-12
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;1200,0;пайка и ТО;C;0,005;0,004999999999803014;-1,9698652431454633e-13
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;1200,0;пайка и ТО;FE;0,5;0,49999999996844186;-3,1558144986121306e-11
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;1200,0;пайка и ТО;MN;0,5;0,5000000040116995;4,0116995281280765e-09
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;1200,0;пайка и ТО;NB;0,06;0,05999999999629931;-3,7006855913013226e-12
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;1200,0;пайка и ТО;S;0,02;0,020000002790822636;2,79082263549002e-09
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;1200,0;пайка и ТО;TI;0,1;0,09999999999309757;-6,9024369553361e-12
0,0;3,5;"B=0; Si=3.5";ось кремния;700,0;служба;NI;58,564999;58,56499904733141;4,7331411678896984e-08
0,0;3,5;"B=0; Si=3.5";ось кремния;700,0;служба;CR;23,5;23,499999981650866;-1,834913376796976e-08
0,0;3,5;"B=0; Si=3.5";ось кремния;700,0;служба;MO;13,0;12,99999999798464;-2,015360323071036e-09
0,0;3,5;"B=0; Si=3.5";ось кремния;700,0;служба;B;1e-06;9,971647198820766e-07;-2,8352801179233662e-09
0,0;3,5;"B=0; Si=3.5";ось кремния;700,0;служба;SI;3,5;3,500000002309649;2,3096489165652656e-09
0,0;3,5;"B=0; Si=3.5";ось кремния;700,0;служба;AL;0,25;0,25000000784882637;7,848826366618766e-09
0,0;3,5;"B=0; Si=3.5";ось кремния;700,0;служба;C;0,005;0,004999998574399802;-1,4256001977866473e-09
0,0;3,5;"B=0; Si=3.5";ось кремния;700,0;служба;FE;0,5;0,5000000015052907;1,5052906698898028e-09
0,0;3,5;"B=0; Si=3.5";ось кремния;700,0;служба;MN;0,5;0,4999999784164112;-2,1583588805107468e-08
0,0;3,5;"B=0; Si=3.5";ось кремния;700,0;служба;NB;0,06;0,06000000009581931;9,581931081914519e-11
0,0;3,5;"B=0; Si=3.5";ось кремния;700,0;служба;S;0,02;0,019999986932197452;-1,3067802548394347e-08
0,0;3,5;"B=0; Si=3.5";ось кремния;700,0;служба;TI;0,1;0,1000000001857539;1,8575389837405254e-10
0,0;3,5;"B=0; Si=3.5";ось кремния;750,0;служба;NI;58,564999;58,56499902741898;2,741897731084464e-08
0,0;3,5;"B=0; Si=3.5";ось кремния;750,0;служба;CR;23,5;23,499999986258853;-1,374114688701411e-08
0,0;3,5;"B=0; Si=3.5";ось кремния;750,0;служба;MO;13,0;12,99999999287412;-7,125880330249856e-09
0,0;3,5;"B=0; Si=3.5";ось кремния;750,0;служба;B;1e-06;1,0011372059297042e-06;1,1372059297042576e-09
0,0;3,5;"B=0; Si=3.5";ось кремния;750,0;служба;SI;3,5;3,500000001904497;1,9044970045456466e-09
0,0;3,5;"B=0; Si=3.5";ось кремния;750,0;служба;AL;0,25;0,24999999983523538;-1,6476461861536507e-10
0,0;3,5;"B=0; Si=3.5";ось кремния;750,0;служба;C;0,005;0,004999998122424808;-1,8775751916763617e-09
0,0;3,5;"B=0; Si=3.5";ось кремния;750,0;служба;FE;0,5;0,4999999896897127;-1,0310287290593578e-08
0,0;3,5;"B=0; Si=3.5";ось кремния;750,0;служба;MN;0,5;0,5000000005715961;5,715961037822126e-10
