T, °C;межфазная энергия, Дж/м²;места зарождения;t, ч;мольная доля P-фазы, %;объёмная доля P-фазы, %;движущая сила, Дж/м³
664,0;0,2;объём зерна;29,350528588955715;0,0;0,0;239035263,58991873
664,0;0,2;объём зерна;51,97073204951477;0,0;0,0;239035263,58992997
664,0;0,2;объём зерна;92,06645694618066;0,0;0,0;239035263,58990532
664,0;0,2;объём зерна;100,0;0,0;0,0;239035263,58996302
664,0;0,2;объём зерна;163,07792971802743;0,0;0,0;239035263,5899379
664,0;0,2;объём зерна;200,0;0,0;0,0;239035263,5899549
664,0;0,2;объём зерна;288,7106794656684;0,0;0,0;239035263,589866
664,0;0,2;объём зерна;511,2587749415865;0,0;0,0;239035263,58987623
664,0;0,2;объём зерна;905,6521559651597;0,0;0,0;239035263,58992407
664,0;0,2;объём зерна;1000,0;0,0;0,0;239035263,58994082
664,0;0,2;объём зерна;1603,2837532047117;0,0;0,0;239035263,58989155
664,0;0,2;объём зерна;2839,0358009060474;0,0;0,0;239035263,58991078
664,0;0,2;объём зерна;5028,633571792196;0,0;0,0;239035263,58991188
664,0;0,2;объём зерна;8908,86767615496;0,0;0,0;239035263,58991817
664,0;0,2;объём зерна;10000,0;0,0;0,0;239035263,58987084
664,0;0,2;объём зерна;15765,470162594047;0,0;0,0;239035263,58991086
664,0;0,2;объём зерна;27940,049585849076;0,0;0,0;239035263,58993164
664,0;0,2;объём зерна;49468,135641063185;0,0;0,0;239035263,58991638
664,0;0,2;объём зерна;87600,0;0,0;0,0;239035263,5899348
664,0;0,125;границы зёрен;0,001;0,0;0,0;239035263,58988386
664,0;0,125;границы зёрен;0,001769908906321979;2,2777558394230955e-35;2,438909879321522e-35;239035263,58988646
664,0;0,125;границы зёрен;0,003145982973440365;1,179846827012586e-22;1,2633224477720859e-22;239035263,5899135
664,0;0,125;границы зёрен;0,005707007789979421;1,0559303132352581e-15;1,1306386875411596e-15;239035263,58995146
664,0;0,125;границы зёрен;0,010000000000000002;8,562499282213978e-12;9,168306685743906e-12;239035263,58986908
664,0;0,125;границы зёрен;0,017218020375563397;2,5583956774800277e-09;2,7394053326578672e-09;239035263,57490999
664,0;0,125;границы зёрен;0,030859245928006204;1,1655881684301065e-07;1,2480549713748246e-07;239035262,90820897
664,0;0,125;границы зёрен;0,054659657247484145;1,4677902833769442e-06;1,5716382578078664e-06;239035255,00562343
664,0;0,125;границы зёрен;0,09632795900056688;1,0768505149997045e-05;1,1530390106433622e-05;239035200,611634
664,0;0,125;границы зёрен;0,10000000000000002;1,2227784559249613e-05;1,3092915311466867e-05;239035192,07719764
664,0;0,125;границы зёрен;0,17156089755395446;8,231314567973913e-05;8,813689730491483e-05;239034782,19103676
664,0;0,125;границы зёрен;0,30435670571367784;0,0007592593595201555;0,0008129774605821757;239030823,09347177
664,0;0,125;границы зёрен;0,5375821994832066;0,006114124324764298;0,006546677855248474;238999501,77786654
664,0;0,125;границы зёрен;0,9521245375606208;0,038961284605117476;0,041716693683884414;238807235,7966987
664,0;0,125;границы зёрен;1,0;0,04485357760673806;0,048025499577507985;238772720,9030633
664,0;0,125;границы зёрен;1,6871029595763158;0,16597990781514274;0,17770232328023447;238061501,53889164
664,0;0,125;границы зёрен;2,9844194390223593;0,5301126582754061;0,5674059718278057;235903644,62346065
664,0;0,125;границы зёрен;5,271591528864967;1,4564150801879865;1,5578529855270047;230276937,5884846
664,0;0,125;границы зёрен;9,346577743706717;3,668170351728184;3,9175308630622365;215987155,71504688
664,0;0,125;границы зёрен;10,0;4,068368272276417;4,343707336544117;213263442,72133824
664,0;0,125;границы зёрен;16,553198280305462;8,376400509933005;8,91620016561322;180841062,66150114
664,0;0,125;границы зёрен;29,371871569453067;16,019024175922755;16,960169179457477;104445246,16808009
664,0;0,125;границы зёрен;51,988718277577924;21,719632795455446;22,90435452958927;21672334,67738976
664,0;0,125;границы зёрен;91,87640977067328;22,637797383495435;23,857337955618533;5085564,354472986
664,0;0,125;границы зёрен;100,0;22,647235661061398;23,867127825846605;4909017,167350256
664,0;0,125;границы зёрен;162,70656936569966;22,5263964098561;23,741777373078392;7159739,479568856
664,0;0,125;границы зёрен;200,0;22,651470028680773;23,87151988938999;4829769,784327782
664,0;0,125;границы зёрен;290,5270650811185;22,65172828801042;23,871787765951467;4824935,552863161
664,0;0,125;границы зёрен;511,39114623392584;22,622910898992206;23,84189666147909;5363762,506598677
664,0;0,125;границы зёрен;906,702183235064;22,64469064744592;23,86448801860929;4956635,398526588
664,0;0,125;границы зёрен;1000,0;22,650951396103718;23,87098194333878;4839477,526488562
664,0;0,125;границы зёрен;1603,0181989576652;22,64957315065845;23,869552371215825;4865273,582634118
664,0;0,125;границы зёрен;2844,8384786644087;22,65526556618307;23,87545675793236;4758713,286300778
664,0;0,125;границы зёрен;5033,826640988258;22,674401638281235;23,89530506590894;4400149,326699216
664,0;0,125;границы зёрен;8901,475708756625;22,706212117156262;23,92829834581225;3802926,247130596
664,0;0,125;границы зёрен;10000,0;22,713420716153927;23,935774777192695;3667385,213788309
