B узла, масс. %;SI узла, масс. %;узел;оси задания;T, °C;режим;элемент;в сплаве, масс. %;собрано из фаз, масс. %;невязка, масс. %
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;595,0;служба;NB;0,06;0,059999999892430614;-1,0756938395584115e-10
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;595,0;служба;S;0,02;0,0200000010750376;1,0750376006063433e-09
0,0;2,0;"B=0; Si=2";ось кремния, перекрёстные узлы;595,0;служба;TI;0,1;0,10000000299963997;2,9996399669718343e-09
0,0;3,5;"B=0; Si=3.5";ось кремния;580,0;служба;NI;58,564999;0,0;-58,564999
0,0;3,5;"B=0; Si=3.5";ось кремния;580,0;служба;CR;23,5;0,0;-23,5
0,0;3,5;"B=0; Si=3.5";ось кремния;580,0;служба;MO;13,0;0,0;-13,0
0,0;3,5;"B=0; Si=3.5";ось кремния;580,0;служба;B;1e-06;0,0;-1e-06
0,0;3,5;"B=0; Si=3.5";ось кремния;580,0;служба;SI;3,5;0,0;-3,5
0,0;3,5;"B=0; Si=3.5";ось кремния;580,0;служба;AL;0,25;0,0;-0,25
0,0;3,5;"B=0; Si=3.5";ось кремния;580,0;служба;C;0,005;0,0;-0,005
0,0;3,5;"B=0; Si=3.5";ось кремния;580,0;служба;FE;0,5;0,0;-0,5
0,0;3,5;"B=0; Si=3.5";ось кремния;580,0;служба;MN;0,5;0,0;-0,5
0,0;3,5;"B=0; Si=3.5";ось кремния;580,0;служба;NB;0,06;0,0;-0,06
0,0;3,5;"B=0; Si=3.5";ось кремния;580,0;служба;S;0,02;0,0;-0,02
0,0;3,5;"B=0; Si=3.5";ось кремния;580,0;служба;TI;0,1;0,0;-0,1
0,0;3,5;"B=0; Si=3.5";ось кремния;595,0;служба;NI;58,564999;58,56499901741012;1,7410123120953358e-08
0,0;3,5;"B=0; Si=3.5";ось кремния;595,0;служба;CR;23,5;23,50000001219242;1,2192419518441966e-08
0,0;3,5;"B=0; Si=3.5";ось кремния;595,0;служба;MO;13,0;12,999999962051927;-3,794807312829107e-08
0,0;3,5;"B=0; Si=3.5";ось кремния;595,0;служба;B;1e-06;9,975325940081117e-07;-2,4674059918882916e-09
0,0;3,5;"B=0; Si=3.5";ось кремния;595,0;служба;SI;3,5;3,4999999881338932;-1,1866106763847029e-08
0,0;3,5;"B=0; Si=3.5";ось кремния;595,0;служба;AL;0,25;0,2500000195147812;1,95147811798968e-08
0,0;3,5;"B=0; Si=3.5";ось кремния;595,0;служба;C;0,005;0,005000003310861161;3,3108611607532423e-09
0,0;3,5;"B=0; Si=3.5";ось кремния;595,0;служба;FE;0,5;0,5000000008198392;8,19839196530836e-10
0,0;3,5;"B=0; Si=3.5";ось кремния;595,0;служба;MN;0,5;0,5000000007476506;7,476506080905665e-10
0,0;3,5;"B=0; Si=3.5";ось кремния;595,0;служба;NB;0,06;0,05999999946064979;-5,393502103268055e-10
0,0;3,5;"B=0; Si=3.5";ось кремния;595,0;служба;S;0,02;0,01999999963965567;-3,6034433076315153e-10
0,0;3,5;"B=0; Si=3.5";ось кремния;595,0;служба;TI;0,1;0,09999999918558657;-8,144134394649782e-10
0,0;5,0;"B=0; Si=5";ось кремния, перекрёстные узлы;580,0;служба;NI;57,064999;0,0;-57,064999
0,0;5,0;"B=0; Si=5";ось кремния, перекрёстные узлы;580,0;служба;CR;23,5;0,0;-23,5
0,0;5,0;"B=0; Si=5";ось кремния, перекрёстные узлы;580,0;служба;MO;13,0;0,0;-13,0
0,0;5,0;"B=0; Si=5";ось кремния, перекрёстные узлы;580,0;служба;B;1e-06;0,0;-1e-06
0,0;5,0;"B=0; Si=5";ось кремния, перекрёстные узлы;580,0;служба;SI;5,0;0,0;-5,0
0,0;5,0;"B=0; Si=5";ось кремния, перекрёстные узлы;580,0;служба;AL;0,25;0,0;-0,25
0,0;5,0;"B=0; Si=5";ось кремния, перекрёстные узлы;580,0;служба;C;0,005;0,0;-0,005
0,0;5,0;"B=0; Si=5";ось кремния, перекрёстные узлы;580,0;служба;FE;0,5;0,0;-0,5
0,0;5,0;"B=0; Si=5";ось кремния, перекрёстные узлы;580,0;служба;MN;0,5;0,0;-0,5
0,0;5,0;"B=0; Si=5";ось кремния, перекрёстные узлы;580,0;служба;NB;0,06;0,0;-0,06
0,0;5,0;"B=0; Si=5";ось кремния, перекрёстные узлы;580,0;служба;S;0,02;0,0;-0,02
0,0;5,0;"B=0; Si=5";ось кремния, перекрёстные узлы;580,0;служба;TI;0,1;0,0;-0,1
0,0;5,0;"B=0; Si=5";ось кремния, перекрёстные узлы;595,0;служба;NI;57,064999;57,0649990337508;3,375080126488683e-08
0,0;5,0;"B=0; Si=5";ось кремния, перекрёстные узлы;595,0;служба;CR;23,5;23,499999970743005;-2,925699504885415e-08
0,0;5,0;"B=0; Si=5";ось кремния, перекрёстные узлы;595,0;служба;MO;13,0;12,999999978206882;-2,1793118420987412e-08
0,0;5,0;"B=0; Si=5";ось кремния, перекрёстные узлы;595,0;служба;B;1e-06;1,000533377348411e-06;5,333773484110018e-10
0,0;5,0;"B=0; Si=5";ось кремния, перекрёстные узлы;595,0;служба;SI;5,0;5,000000014400842;1,4400842296424798e-08
0,0;5,0;"B=0; Si=5";ось кремния, перекрёстные узлы;595,0;служба;AL;0,25;0,25000000084403545;8,440354526406679e-10
0,0;5,0;"B=0; Si=5";ось кремния, перекрёстные узлы;595,0;служба;C;0,005;0,005000000061411731;6,141173073542783e-11
0,0;5,0;"B=0; Si=5";ось кремния, перекрёстные узлы;595,0;служба;FE;0,5;0,5000000014964168;1,4964167682762763e-09
0,0;5,0;"B=0; Si=5";ось кремния, перекрёстные узлы;595,0;служба;MN;0,5;0,5000000005458018;5,458018481618865e-10
0,0;5,0;"B=0; Si=5";ось кремния, перекрёстные узлы;595,0;служба;NB;0,06;0,060000000075831485;7,583148692313912e-11
0,0;5,0;"B=0; Si=5";ось кремния, перекрёстные узлы;595,0;служба;S;0,02;0,019999998959385094;-1,0406149067443415e-09
0,0;5,0;"B=0; Si=5";ось кремния, перекрёстные узлы;595,0;служба;TI;0,1;0,10000000038219738;3,821973709738913e-10
0,1;0,1;"B=0.1; Si=0.1";ось бора;580,0;служба;NI;61,864999999999995;61,86500000636565;6,365652893691731e-09
0,1;0,1;"B=0.1; Si=0.1";ось бора;580,0;служба;CR;23,5;23,499999959581174;-4,0418825619781273e-08
0,1;0,1;"B=0.1; Si=0.1";ось бора;580,0;служба;MO;13,0;13,000000049543925;4,9543924518502536e-08
0,1;0,1;"B=0.1; Si=0.1";ось бора;580,0;служба;B;0,1;0,09999999922454073;-7,754592801223481e-10
0,1;0,1;"B=0.1; Si=0.1";ось бора;580,0;служба;SI;0,1;0,09999999987789879;-1,221012180252501e-10
0,1;0,1;"B=0.1; Si=0.1";ось бора;580,0;служба;AL;0,25;0,25000000057042715;5,704271499595848e-10
0,1;0,1;"B=0.1; Si=0.1";ось бора;580,0;служба;C;0,005;0,004999990131708948;-9,868291052372857e-09
0,1;0,1;"B=0.1; Si=0.1";ось бора;580,0;служба;FE;0,5;0,499999998643934;-1,356065981727994e-09
0,1;0,1;"B=0.1; Si=0.1";ось бора;580,0;служба;MN;0,5;0,499999997804325;-2,1956749751694815e-09
0,1;0,1;"B=0.1; Si=0.1";ось бора;580,0;служба;NB;0,06;0,059999999946942335;-5,305766243024479e-11
0,1;0,1;"B=0.1; Si=0.1";ось бора;580,0;служба;S;0,02;0,019999999174241244;-8,257587565119184e-10
0,1;0,1;"B=0.1; Si=0.1";ось бора;580,0;служба;TI;0,1;0,09999999913525126;-8,647487448332214e-10
0,1;0,1;"B=0.1; Si=0.1";ось бора;595,0;служба;NI;61,864999999999995;61,8650000815749;8,157490327675987e-08
0,1;0,1;"B=0.1; Si=0.1";ось бора;595,0;служба;CR;23,5;23,499999949576093;-5,042390682774567e-08
0,1;0,1;"B=0.1; Si=0.1";ось бора;595,0;служба;MO;13,0;12,999999987933997;-1,2066003307609208e-08
0,1;0,1;"B=0.1; Si=0.1";ось бора;595,0;служба;B;0,1;0,09999999978993929;-2,100607188193493e-10
0,1;0,1;"B=0.1; Si=0.1";ось бора;595,0;служба;SI;0,1;0,10000000017588115;1,7588114298305868e-10
0,1;0,1;"B=0.1; Si=0.1";ось бора;595,0;служба;AL;0,25;0,25000000223581603;2,235816032314375e-09
0,1;0,1;"B=0.1; Si=0.1";ось бора;595,0;служба;C;0,005;0,004999989521028703;-1,0478971297460393e-08
0,1;0,1;"B=0.1; Si=0.1";ось бора;595,0;служба;FE;0,5;0,5000000007168351;7,168351467967682e-10
0,1;0,1;"B=0.1; Si=0.1";ось бора;595,0;служба;MN;0,5;0,4999999936292934;-6,370706573388674e-09
