T, °C;точка ТЗ;фаза;мольная доля фазы, %;массовая доля фазы, %;x(NI);x(CR);x(MO);x(AL);x(C);x(FE);x(MN);x(NB);x(S);x(SI);x(TI);NI, масс. %;CR, масс. %;MO, масс. %;AL, масс. %;C, масс. %;FE, масс. %;MN, масс. %;NB, масс. %;S, масс. %;SI, масс. %;TI, масс. %
580,0;да;P_PHASE;28,221016672713027;30,40729335789976;0,4186149987499186;0,3670992869643671;0,21428571428571425;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;38,259905567779136;29,724768124366086;32,015326307854764;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
595,0;да;FCC_A1;70,94025139871913;68,96785645178821;0,7104657856615353;0,23530265995472663;0,030275587481579082;0,0055656335127332555;1,7370580968358168e-06;0,007335190637710647;0,007121993992679834;0,0005302511963281512;9,999982629418362e-15;0,002989253436300855;0,0004119070682994105;71,96533994850931;21,116059412793327;5,013123420280399;0,2591775873859538;3,6008880074077204e-05;0,7070129319308288;0,6752903623762829;0,08502436412517961;5,534267377165454e-13;0,14489753611306036;0,03403842760504712
595,0;да;GAMMA_PRIME;1,2913308343307794;1,1694144773467778;0,7480159978419085;0,04023297049769495;0,005758722740877856;0,12187516732376087;0,0;0,010215962778318804;0,0;0,0006758514792495812;0,0;0,00011055219063496655;0,07311477514755434;81,34187131523322;3,87606630390894;1,0236819537316382;6,092858923884526;0,0;1,0571054554146202;0,0;0,11634187650895272;0,0;0,005752924523618816;6,486321246794493
595,0;да;M23C6;0,11931758346934175;0,09828716317212753;0,1733564680456574;0,5160549773276788;0,09643061086286737;0,0;0,206896551724138;0,00023596047396550469;1,0422699277862074e-05;0,0;0,0;0,0;0,007015008866415062;20,724397654157457;54,656732296706416;18,844837169331587;0,0;5,061860551286092;0,026842123215567743;0,0011663551454835887;0,0;0,0;0,0;0,684163850157396
595,0;да;MNS_Q;0,0743438540327089;0,05426557452623272;0,0;0,0;0,0;0,0;0,0;1,5032179085671752e-07;0,4999998496782091;0,0;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,9298011649132953e-05;63,144204071857914;0,0;36,85577663013044;0,0;0,0
595,0;да;P_PHASE;27,57475609480223;29,71017633316666;0,41835967390813544;0,36735461180615026;0,21428571428571425;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;38,23758752932729;29,746234018267643;32,016178452405065;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
600,0;нет;FCC_A1;71,21013935600608;69,25065655680454;0,7096179102419208;0,2355591207843966;0,030829727589676496;0,005625681436823707;1,8857300734542887e-06;0,007318084190432244;0,007095000842475817;0,000528652653449424;9,99998114269862e-15;0,0029779409266095336;0,0004459956041319722;71,85826467855745;21,1328420520897;5,103374612519281;0,2618966342416006;3,907929690866654e-05;0,7051561491453939;0,6725326043351463;0,08474305099833443;5,532634959633871e-13;0,1443066303310137;0,036844508484631826
600,0;нет;GAMMA_PRIME;1,242381159252597;1,1249107212114484;0,747955240631497;0,03951907337352839;0,005757533453570424;0,12202619299797798;0,0;0,010005044766222923;0,0;0,0006789155392620655;0,0;0,00011394348752615033;0,07394405575041511;81,34795255438533;3,8078829978105015;1,0236302036750873;6,101360748522601;0,0;1,0354420367022465;0,0;0,11688755889516;0,0;0,005930326105062347;6,560913573904006
600,0;нет;M23C6;0,11926425329623987;0,09824647344889724;0,17422287090928437;0,5151832536616519;0,09634320762648046;0,0;0,20689655172413796;0,00024093290159359564;1,081587440908067e-05;0,0;0,0;0,0;0,007102367302442771;20,827287183271466;54,56260573955337;18,827135387658018;0,0;5,061693565691957;0,027406866827749694;0,0012103135927397054;0,0;0,0;0,0;0,6926609434046813
600,0;нет;MNS_Q;0,07434385311221407;0,054265573675547484;0,0;0,0;0,0;0,0;0,0;1,6549239960189685e-07;0,49999983450760044;0,0;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,1245584130860307e-05;63,14420213596867;0,0;36,8557766184472;0,0;0,0
