случай;ступень;T, °C;фаза;фаза постановки;мольная доля;мольная доля, %;видимая
MO нижний;А;750,0;FCC_A1;;0,8410812811359691;84,10812811359692;да
MO нижний;А;750,0;M23C6;;0,001130234149829536;0,11302341498295361;да
MO нижний;А;750,0;MNS_Q;;0,0007405188964242442;0,07405188964242441;да
MO нижний;А;750,0;P_PHASE;P;0,15704796628505496;15,704796628505497;да
MO верхний;А;700,0;FCC_A1;;0,7414855212429147;74,14855212429147;да
MO верхний;А;700,0;GAMMA_PRIME;;0,00041003732906696723;0,041003732906696726;да
MO верхний;А;700,0;M23C6;;0,0011742865251177894;0,11742865251177893;да
MO верхний;А;700,0;MNS_Q;;0,0007463811449624037;0,07463811449624037;да
MO верхний;А;700,0;P_PHASE;P;0,25618377153124344;25,618377153124346;да
MO верхний;А;750,0;FCC_A1;;0,7731377401371884;77,31377401371884;да
MO верхний;А;750,0;M23C6;;0,001143178239439286;0,1143178239439286;да
MO верхний;А;750,0;MNS_Q;;0,0007463813576725985;0,07463813576725985;да
MO верхний;А;750,0;P_PHASE;P;0,22497270164464367;22,497270164464368;да
TI нижний;А;700,0;FCC_A1;;0,778423992392451;77,8423992392451;да
TI нижний;А;700,0;M23C6;;0,0011668314707273717;0,11668314707273716;да
TI нижний;А;700,0;MNS_Q;;0,0007435579016507075;0,07435579016507075;да
TI нижний;А;700,0;P_PHASE;P;0,2196656170087684;21,96656170087684;да
TI нижний;А;750,0;FCC_A1;;0,8107983124098301;81,07983124098301;да
TI нижний;А;750,0;M23C6;;0,0011327864890532985;0,11327864890532985;да
TI нижний;А;750,0;MNS_Q;;0,0007435579440855412;0,07435579440855412;да
TI нижний;А;750,0;P_PHASE;P;0,1873253438617901;18,732534386179008;да
TI верхний;А;700,0;FCC_A1;;0,7679772089062571;76,79772089062571;да
TI верхний;А;700,0;GAMMA_PRIME;;0,005190008004690459;0,519000800469046;да
TI верхний;А;700,0;M23C6;;0,001168818512803141;0,1168818512803141;да
TI верхний;А;700,0;MNS_Q;;0,0007433363703723461;0,07433363703723461;да
TI верхний;А;700,0;P_PHASE;P;0,22492062911637417;22,49206291163742;да
TI верхний;А;750,0;FCC_A1;;0,8040873762933267;80,40873762933268;да
TI верхний;А;750,0;M23C6;;0,0011387747878633156;0,11387747878633156;да
TI верхний;А;750,0;MNS_Q;;0,0007433363620697523;0,07433363620697522;да
TI верхний;А;750,0;P_PHASE;P;0,19403051373062163;19,403051373062162;да
NB нижний;А;700,0;FCC_A1;;0,7765470966204439;77,65470966204438;да
NB нижний;А;700,0;M23C6;;0,0011683549835689222;0,11683549835689222;да
NB нижний;А;700,0;MNS_Q;;0,0007433273801150787;0,07433273801150787;да
NB нижний;А;700,0;P_PHASE;P;0,22154122339264956;22,154122339264955;да
NB нижний;А;750,0;FCC_A1;;0,8088013263486011;80,88013263486012;да
NB нижний;А;750,0;M23C6;;0,001136129861629287;0,11361298616292871;да
NB нижний;А;750,0;MNS_Q;;0,0007433273637994149;0,07433273637994149;да
NB нижний;А;750,0;P_PHASE;P;0,18931921710634225;18,931921710634224;да
NB верхний;А;700,0;FCC_A1;;0,7735038803808677;77,35038803808678;да
NB верхний;А;700,0;M23C6;;0,0011691377020572604;0,11691377020572605;да
NB верхний;А;700,0;MNS_Q;;0,0007435498276871482;0,07435498276871483;да
NB верхний;А;700,0;P_PHASE;P;0,22458343247838564;22,458343247838563;да
NB верхний;А;750,0;FCC_A1;;0,8055327646683536;80,55327646683536;да
NB верхний;А;750,0;M23C6;;0,0011372890973446379;0,11372890973446378;да
NB верхний;А;750,0;MNS_Q;;0,0007435497604074169;0,07435497604074169;да
NB верхний;А;750,0;P_PHASE;P;0,19258639680435352;19,25863968043535;да
FE нижний;А;700,0;FCC_A1;;0,7775880134492116;77,75880134492115;да
FE нижний;А;700,0;M23C6;;0,0011676303003533713;0,11676303003533713;да
FE нижний;А;700,0;MNS_Q;;0,0007436304146027496;0,07436304146027496;да
FE нижний;А;700,0;P_PHASE;P;0,2205007250972203;22,05007250972203;да
FE нижний;А;750,0;FCC_A1;;0,8091713810917835;80,91713810917835;да
FE нижний;А;750,0;M23C6;;0,0011348075131430288;0,11348075131430288;да
FE нижний;А;750,0;MNS_Q;;0,0007436304120488741;0,0743630412048874;да
FE нижний;А;750,0;P_PHASE;P;0,1889501798665058;18,89501798665058;да
FE верхний;А;700,0;FCC_A1;;0,7750216252218527;77,50216252218527;да
FE верхний;А;700,0;M23C6;;0,0011687480154170607;0,11687480154170607;да
FE верхний;А;700,0;MNS_Q;;0,0007434385197343389;0,07434385197343389;да
FE верхний;А;700,0;P_PHASE;P;0,2230661887710223;22,30661887710223;да
FE верхний;А;750,0;FCC_A1;;0,8071636788152864;80,71636788152864;да
FE верхний;А;750,0;M23C6;;0,0011367109947697746;0,11367109947697746;да
FE верхний;А;750,0;MNS_Q;;0,0007434385873950247;0,07434385873950247;да
FE верхний;А;750,0;P_PHASE;P;0,19095616936837215;19,095616936837214;да
угол CR 23 · MO 12 · NB 0.02 · TI 0.03;Б;700,0;FCC_A1;;0,8233925627389264;82,33925627389263;да
угол CR 23 · MO 12 · NB 0.02 · TI 0.03;Б;700,0;M23C6;;0,0011591996233655641;0,11591996233655641;да
угол CR 23 · MO 12 · NB 0.02 · TI 0.03;Б;700,0;MNS_Q;;0,0007410094801244462;0,07410094801244463;да
угол CR 23 · MO 12 · NB 0.02 · TI 0.03;Б;700,0;P_PHASE;P;0,17470722805476435;17,470722805476434;да
угол CR 23 · MO 12 · NB 0.02 · TI 0.03;Б;750,0;FCC_A1;;0,8577472640246855;85,77472640246854;да
угол CR 23 · MO 12 · NB 0.02 · TI 0.03;Б;750,0;M23C6;;0,0011218134801980115;0,11218134801980115;да
угол CR 23 · MO 12 · NB 0.02 · TI 0.03;Б;750,0;MNS_Q;;0,0007410094544222482;0,07410094544222483;да
угол CR 23 · MO 12 · NB 0.02 · TI 0.03;Б;750,0;P_PHASE;P;0,14038991185081587;14,038991185081587;да
угол CR 23 · MO 14 · NB 0.02 · TI 0.03;Б;700,0;FCC_A1;;0,758105563751328;75,8105563751328;да
угол CR 23 · MO 14 · NB 0.02 · TI 0.03;Б;700,0;M23C6;;0,001170323493615473;0,1170323493615473;да
угол CR 23 · MO 14 · NB 0.02 · TI 0.03;Б;700,0;MNS_Q;;0,0007468795564877859;0,07468795564877859;да
угол CR 23 · MO 14 · NB 0.02 · TI 0.03;Б;700,0;P_PHASE;P;0,23997723586488257;23,997723586488256;да
угол CR 23 · MO 14 · NB 0.02 · TI 0.03;Б;750,0;FCC_A1;;0,7912973398821582;79,12973398821582;да
угол CR 23 · MO 14 · NB 0.02 · TI 0.03;Б;750,0;M6C;;0,0016548359083222912;0,16548359083222913;да
угол CR 23 · MO 14 · NB 0.02 · TI 0.03;Б;750,0;MNS_Q;;0,0007468797440313757;0,07468797440313757;да
угол CR 23 · MO 14 · NB 0.02 · TI 0.03;Б;750,0;P_PHASE;P;0,20630092475761017;20,630092475761018;да
угол CR 24 · MO 12 · NB 0.02 · TI 0.03;Б;700,0;FCC_A1;;0,8031708796134881;80,3170879613488;да
угол CR 24 · MO 12 · NB 0.02 · TI 0.03;Б;700,0;M23C6;;0,0011621901762316658;0,11621901762316658;да
угол CR 24 · MO 12 · NB 0.02 · TI 0.03;Б;700,0;MNS_Q;;0,0007400451231788578;0,07400451231788578;да
угол CR 24 · MO 12 · NB 0.02 · TI 0.03;Б;700,0;P_PHASE;P;0,19492688841010458;19,49268884101046;да
угол CR 24 · MO 12 · NB 0.02 · TI 0.03;Б;750,0;FCC_A1;;0,8354211236114222;83,54211236114222;да
угол CR 24 · MO 12 · NB 0.02 · TI 0.03;Б;750,0;M23C6;;0,001129147797634453;0,11291477976344529;да
угол CR 24 · MO 12 · NB 0.02 · TI 0.03;Б;750,0;MNS_Q;;0,0007400451043678966;0,07400451043678967;да
угол CR 24 · MO 12 · NB 0.02 · TI 0.03;Б;750,0;P_PHASE;P;0,16270968018767926;16,270968018767924;да
угол CR 24 · MO 14 · NB 0.02 · TI 0.03;Б;700,0;FCC_A1;;0,7364647335443094;73,64647335443094;да
угол CR 24 · MO 14 · NB 0.02 · TI 0.03;Б;700,0;M23C6;;0,0011736116215037712;0,11736116215037712;да
угол CR 24 · MO 14 · NB 0.02 · TI 0.03;Б;700,0;MNS_Q;;0,0007458998402999187;0,07458998402999187;да
угол CR 24 · MO 14 · NB 0.02 · TI 0.03;Б;700,0;P_PHASE;P;0,2616157539688802;26,161575396888022;да
угол CR 24 · MO 14 · NB 0.02 · TI 0.03;Б;750,0;FCC_A1;;0,7670525292127076;76,70525292127076;да
угол CR 24 · MO 14 · NB 0.02 · TI 0.03;Б;750,0;M23C6;;0,0011424741022503524;0,11424741022503523;да
угол CR 24 · MO 14 · NB 0.02 · TI 0.03;Б;750,0;MNS_Q;;0,0007458999852477977;0,07458999852477977;да
угол CR 24 · MO 14 · NB 0.02 · TI 0.03;Б;750,0;P_PHASE;P;0,23105909715200024;23,105909715200024;да
угол CR 23 · MO 12 · NB 0.02 · TI 0.16;Б;700,0;FCC_A1;;0,8141307078431487;81,41307078431487;да
угол CR 23 · MO 12 · NB 0.02 · TI 0.16;Б;700,0;GAMMA_PRIME;;0,0034819125235180364;0,34819125235180365;да
угол CR 23 · MO 12 · NB 0.02 · TI 0.16;Б;700,0;M23C6;;0,0011617042285888021;0,11617042285888021;да
угол CR 23 · MO 12 · NB 0.02 · TI 0.16;Б;700,0;MNS_Q;;0,0007407894040915937;0,07407894040915937;да
угол CR 23 · MO 12 · NB 0.02 · TI 0.16;Б;700,0;P_PHASE;P;0,18048488572045573;18,048488572045574;да
угол CR 23 · MO 12 · NB 0.02 · TI 0.16;Б;750,0;FCC_A1;;0,8508447789705325;85,08447789705325;да
угол CR 23 · MO 12 · NB 0.02 · TI 0.16;Б;750,0;M23C6;;0,0011282663592959115;0,11282663592959115;да
угол CR 23 · MO 12 · NB 0.02 · TI 0.16;Б;750,0;MNS_Q;;0,0007407894138092064;0,07407894138092064;да
угол CR 23 · MO 12 · NB 0.02 · TI 0.16;Б;750,0;P_PHASE;P;0,147286162662244;14,728616266224401;да
угол CR 23 · MO 14 · NB 0.02 · TI 0.16;Б;700,0;FCC_A1;;0,7466546507934874;74,66546507934873;да
угол CR 23 · MO 14 · NB 0.02 · TI 0.16;Б;700,0;GAMMA_PRIME;;0,005810357421389254;0,5810357421389254;да
угол CR 23 · MO 14 · NB 0.02 · TI 0.16;Б;700,0;M23C6;;0,001172310404032999;0,1172310404032999;да
угол CR 23 · MO 14 · NB 0.02 · TI 0.16;Б;700,0;MNS_Q;;0,0007466559604060755;0,07466559604060755;да
угол CR 23 · MO 14 · NB 0.02 · TI 0.16;Б;700,0;P_PHASE;P;0,24561602419207315;24,561602419207315;да
угол CR 23 · MO 14 · NB 0.02 · TI 0.16;Б;750,0;FCC_A1;;0,7840453120828681;78,40453120828681;да
угол CR 23 · MO 14 · NB 0.02 · TI 0.16;Б;750,0;M23C6;;9,17696304065617e-05;0,009176963040656171;нет
угол CR 23 · MO 14 · NB 0.02 · TI 0.16;Б;750,0;M6C;;0,0015198013710468446;0,15198013710468447;да
угол CR 23 · MO 14 · NB 0.02 · TI 0.16;Б;750,0;MNS_Q;;0,0007466560975084031;0,07466560975084031;да
угол CR 23 · MO 14 · NB 0.02 · TI 0.16;Б;750,0;P_PHASE;P;0,2135964595895871;21,35964595895871;да
угол CR 24 · MO 12 · NB 0.02 · TI 0.16;Б;700,0;FCC_A1;;0,7935767055954664;79,35767055954665;да
угол CR 24 · MO 12 · NB 0.02 · TI 0.16;Б;700,0;GAMMA_PRIME;;0,004637691649563016;0,46376916495630166;да
угол CR 24 · MO 12 · NB 0.02 · TI 0.16;Б;700,0;M23C6;;0,001164195081734214;0,11641950817342141;да
угол CR 24 · MO 12 · NB 0.02 · TI 0.16;Б;700,0;MNS_Q;;0,0007398256512765699;0,073982565127657;да
угол CR 24 · MO 12 · NB 0.02 · TI 0.16;Б;700,0;P_PHASE;P;0,1998815817678817;19,988158176788172;да
угол CR 24 · MO 12 · NB 0.02 · TI 0.16;Б;750,0;FCC_A1;;0,8291533558938049;82,91533558938049;да
угол CR 24 · MO 12 · NB 0.02 · TI 0.16;Б;750,0;M23C6;;0,0011349349613835444;0,11349349613835444;да
угол CR 24 · MO 12 · NB 0.02 · TI 0.16;Б;750,0;MNS_Q;;0,0007398256169709025;0,07398256169709025;да
угол CR 24 · MO 12 · NB 0.02 · TI 0.16;Б;750,0;P_PHASE;P;0,16897188154742507;16,89718815474251;да
угол CR 24 · MO 14 · NB 0.02 · TI 0.16;Б;700,0;FCC_A1;;0,7248059491187471;72,4805949118747;да
угол CR 24 · MO 14 · NB 0.02 · TI 0.16;Б;700,0;GAMMA_PRIME;;0,006851056517916205;0,6851056517916205;да
угол CR 24 · MO 14 · NB 0.02 · TI 0.16;Б;700,0;M23C6;;0,0011751278771698745;0,11751278771698745;да
угол CR 24 · MO 14 · NB 0.02 · TI 0.16;Б;700,0;MNS_Q;;0,0007456769135220412;0,07456769135220412;да
угол CR 24 · MO 14 · NB 0.02 · TI 0.16;Б;700,0;P_PHASE;P;0,2664221890936004;26,64221890936004;да
угол CR 24 · MO 14 · NB 0.02 · TI 0.16;Б;750,0;FCC_A1;;0,7604942910896131;76,0494291089613;да
угол CR 24 · MO 14 · NB 0.02 · TI 0.16;Б;750,0;M23C6;;0,0011480536341499801;0,11480536341499802;да
угол CR 24 · MO 14 · NB 0.02 · TI 0.16;Б;750,0;MNS_Q;;0,0007456770144445954;0,07456770144445954;да
угол CR 24 · MO 14 · NB 0.02 · TI 0.16;Б;750,0;P_PHASE;P;0,2376119791925062;23,76119791925062;да
угол CR 23 · MO 12 · NB 0.1 · TI 0.03;Б;700,0;FCC_A1;;0,8202575198726443;82,02575198726443;да
угол CR 23 · MO 12 · NB 0.1 · TI 0.03;Б;700,0;M23C6;;0,0011600240004328642;0,11600240004328642;да
угол CR 23 · MO 12 · NB 0.1 · TI 0.03;Б;700,0;MNS_Q;;0,0007412304914669525;0,07412304914669525;да
угол CR 23 · MO 12 · NB 0.1 · TI 0.03;Б;700,0;P_PHASE;P;0,17784122674093655;17,784122674093656;да
угол CR 23 · MO 12 · NB 0.1 · TI 0.03;Б;750,0;FCC_A1;;0,8543993005162669;85,43993005162669;да
угол CR 23 · MO 12 · NB 0.1 · TI 0.03;Б;750,0;M23C6;;0,0011230456503398191;0,11230456503398191;да
угол CR 23 · MO 12 · NB 0.1 · TI 0.03;Б;750,0;MNS_Q;;0,0007412305001386416;0,07412305001386416;да
угол CR 23 · MO 12 · NB 0.1 · TI 0.03;Б;750,0;P_PHASE;P;0,14373642188046623;14,373642188046624;да
угол CR 23 · MO 14 · NB 0.1 · TI 0.03;Б;700,0;FCC_A1;;0,7547912186731925;75,47912186731925;да
угол CR 23 · MO 14 · NB 0.1 · TI 0.03;Б;700,0;M23C6;;0,0011711765646653018;0,11711765646653019;да
угол CR 23 · MO 14 · NB 0.1 · TI 0.03;Б;700,0;MNS_Q;;0,0007471041159593319;0,0747104115959332;да
угол CR 23 · MO 14 · NB 0.1 · TI 0.03;Б;700,0;P_PHASE;P;0,24329050025699472;24,329050025699473;да
угол CR 23 · MO 14 · NB 0.1 · TI 0.03;Б;750,0;FCC_A1;;0,7877876914488863;78,77876914488863;да
угол CR 23 · MO 14 · NB 0.1 · TI 0.03;Б;750,0;M6C;;0,0016549205680205894;0,16549205680205895;да
угол CR 23 · MO 14 · NB 0.1 · TI 0.03;Б;750,0;MNS_Q;;0,0007471041291115285;0,07471041291115285;да
угол CR 23 · MO 14 · NB 0.1 · TI 0.03;Б;750,0;P_PHASE;P;0,20981026294731012;20,981026294731013;да
угол CR 24 · MO 12 · NB 0.1 · TI 0.03;Б;700,0;FCC_A1;;0,8003096524864689;80,0309652486469;да
угол CR 24 · MO 12 · NB 0.1 · TI 0.03;Б;700,0;M23C6;;0,0011629621910226764;0,11629621910226765;да
угол CR 24 · MO 12 · NB 0.1 · TI 0.03;Б;700,0;MNS_Q;;0,0007402656034961667;0,07402656034961667;да
угол CR 24 · MO 12 · NB 0.1 · TI 0.03;Б;700,0;P_PHASE;P;0,19778711815379077;19,778711815379076;да
угол CR 24 · MO 12 · NB 0.1 · TI 0.03;Б;750,0;FCC_A1;;0,8323299107314299;83,232991073143;да
угол CR 24 · MO 12 · NB 0.1 · TI 0.03;Б;750,0;M23C6;;0,0011302783124399135;0,11302783124399135;да
угол CR 24 · MO 12 · NB 0.1 · TI 0.03;Б;750,0;MNS_Q;;0,0007402655981206727;0,07402655981206727;да
угол CR 24 · MO 12 · NB 0.1 · TI 0.03;Б;750,0;P_PHASE;P;0,1657995455838413;16,57995455838413;да
угол CR 24 · MO 14 · NB 0.1 · TI 0.03;Б;700,0;FCC_A1;;0,7334482076363661;73,3448207636366;да
угол CR 24 · MO 14 · NB 0.1 · TI 0.03;Б;700,0;M23C6;;0,001174401743914773;0,11744017439147729;да
угол CR 24 · MO 14 · NB 0.1 · TI 0.03;Б;700,0;MNS_Q;;0,00074612378746746;0,07461237874674599;да
угол CR 24 · MO 14 · NB 0.1 · TI 0.03;Б;700,0;P_PHASE;P;0,26463126344132387;26,463126344132387;да
угол CR 24 · MO 14 · NB 0.1 · TI 0.03;Б;750,0;FCC_A1;;0,7638068160524475;76,38068160524475;да
угол CR 24 · MO 14 · NB 0.1 · TI 0.03;Б;750,0;M23C6;;0,0011436422645229602;0,11436422645229602;да
угол CR 24 · MO 14 · NB 0.1 · TI 0.03;Б;750,0;MNS_Q;;0,0007461239754112222;0,07461239754112221;да
угол CR 24 · MO 14 · NB 0.1 · TI 0.03;Б;750,0;P_PHASE;P;0,2343034151060576;23,43034151060576;да
угол CR 23 · MO 12 · NB 0.1 · TI 0.16;Б;700,0;FCC_A1;;0,8110280096571884;81,10280096571884;да
угол CR 23 · MO 12 · NB 0.1 · TI 0.16;Б;700,0;GAMMA_PRIME;;0,003518253442961326;0,3518253442961326;да
угол CR 23 · MO 12 · NB 0.1 · TI 0.16;Б;700,0;M23C6;;0,0011624981829396757;0,11624981829396756;да
угол CR 23 · MO 12 · NB 0.1 · TI 0.16;Б;700,0;MNS_Q;;0,0007410103702923075;0,07410103702923075;да
угол CR 23 · MO 12 · NB 0.1 · TI 0.16;Б;700,0;P_PHASE;P;0,18355022739125762;18,35502273912576;да
угол CR 23 · MO 12 · NB 0.1 · TI 0.16;Б;750,0;FCC_A1;;0,8475538468984134;84,75538468984134;да
угол CR 23 · MO 12 · NB 0.1 · TI 0.16;Б;750,0;M23C6;;0,0011294277472371278;0,11294277472371278;да
угол CR 23 · MO 12 · NB 0.1 · TI 0.16;Б;750,0;MNS_Q;;0,0007410102751457851;0,07410102751457852;да
угол CR 23 · MO 12 · NB 0.1 · TI 0.16;Б;750,0;P_PHASE;P;0,15057571060728295;15,057571060728295;да
угол CR 23 · MO 14 · NB 0.1 · TI 0.16;Б;700,0;FCC_A1;;0,7433774414766261;74,3377441476626;да
угол CR 23 · MO 14 · NB 0.1 · TI 0.16;Б;700,0;GAMMA_PRIME;;0,0058432892284067785;0,5843289228406778;да
угол CR 23 · MO 14 · NB 0.1 · TI 0.16;Б;700,0;M23C6;;0,0011731406283155908;0,11731406283155908;да
угол CR 23 · MO 14 · NB 0.1 · TI 0.16;Б;700,0;MNS_Q;;0,0007468805589805487;0,07468805589805487;да
угол CR 23 · MO 14 · NB 0.1 · TI 0.16;Б;700,0;P_PHASE;P;0,24885925096457442;24,88592509645744;да
угол CR 23 · MO 14 · NB 0.1 · TI 0.16;Б;750,0;FCC_A1;;0,7801114097738914;78,01114097738913;да
угол CR 23 · MO 14 · NB 0.1 · TI 0.16;Б;750,0;M23C6;;0,0011420626790969604;0,11420626790969604;да
угол CR 23 · MO 14 · NB 0.1 · TI 0.16;Б;750,0;MNS_Q;;0,0007468803840919391;0,07468803840919391;да
угол CR 23 · MO 14 · NB 0.1 · TI 0.16;Б;750,0;P_PHASE;P;0,2179996455316877;21,79996455316877;да
угол CR 24 · MO 12 · NB 0.1 · TI 0.16;Б;700,0;FCC_A1;;0,7907304903101797;79,07304903101797;да
угол CR 24 · MO 12 · NB 0.1 · TI 0.16;Б;700,0;GAMMA_PRIME;;0,00469773710286935;0,469773710286935;да
угол CR 24 · MO 12 · NB 0.1 · TI 0.16;Б;700,0;M23C6;;0,0011649355014002104;0,11649355014002104;да
угол CR 24 · MO 12 · NB 0.1 · TI 0.16;Б;700,0;MNS_Q;;0,0007400459776643248;0,07400459776643248;да
угол CR 24 · MO 12 · NB 0.1 · TI 0.16;Б;700,0;P_PHASE;P;0,20266679518820596;20,266679518820595;да
угол CR 24 · MO 12 · NB 0.1 · TI 0.16;Б;750,0;FCC_A1;;0,8261248481710581;82,61248481710581;да
угол CR 24 · MO 12 · NB 0.1 · TI 0.16;Б;750,0;M23C6;;0,001136006513759427;0,1136006513759427;да
угол CR 24 · MO 12 · NB 0.1 · TI 0.16;Б;750,0;MNS_Q;;0,0007400459706114911;0,0740045970611491;да
угол CR 24 · MO 12 · NB 0.1 · TI 0.16;Б;750,0;P_PHASE;P;0,17199910024653678;17,19991002465368;да
угол CR 24 · MO 14 · NB 0.1 · TI 0.16;Б;700,0;FCC_A1;;0,7218109628151683;72,18109628151683;да
угол CR 24 · MO 14 · NB 0.1 · TI 0.16;Б;700,0;GAMMA_PRIME;;0,006907664673630651;0,6907664673630651;да
угол CR 24 · MO 14 · NB 0.1 · TI 0.16;Б;700,0;M23C6;;0,0011758950112597628;0,11758950112597628;да
угол CR 24 · MO 14 · NB 0.1 · TI 0.16;Б;700,0;MNS_Q;;0,0007459008673846222;0,07459008673846222;да
угол CR 24 · MO 14 · NB 0.1 · TI 0.16;Б;700,0;P_PHASE;P;0,2693595783692264;26,93595783692264;да
угол CR 24 · MO 14 · NB 0.1 · TI 0.16;Б;750,0;FCC_A1;;0,757316587863486;75,7316587863486;да
угол CR 24 · MO 14 · NB 0.1 · TI 0.16;Б;750,0;M23C6;;0,0011491548013001682;0,11491548013001683;да
угол CR 24 · MO 14 · NB 0.1 · TI 0.16;Б;750,0;MNS_Q;;0,0007459008490442243;0,07459008490442243;да
угол CR 24 · MO 14 · NB 0.1 · TI 0.16;Б;750,0;P_PHASE;P;0,24078835944566518;24,078835944566517;да
собранный худший;Б;700,0;FCC_A1;;0,7218109628151683;72,18109628151683;да
собранный худший;Б;700,0;GAMMA_PRIME;;0,006907664673630651;0,6907664673630651;да
собранный худший;Б;700,0;M23C6;;0,0011758950112597628;0,11758950112597628;да
собранный худший;Б;700,0;MNS_Q;;0,0007459008673846222;0,07459008673846222;да
собранный худший;Б;700,0;P_PHASE;P;0,2693595783692264;26,93595783692264;да
собранный худший;Б;750,0;FCC_A1;;0,757316587863486;75,7316587863486;да
собранный худший;Б;750,0;M23C6;;0,0011491548013001682;0,11491548013001683;да
собранный худший;Б;750,0;MNS_Q;;0,0007459008490442243;0,07459008490442243;да
собранный худший;Б;750,0;P_PHASE;P;0,24078835944566518;24,078835944566517;да
собранный лучший;Б;700,0;FCC_A1;;0,8261589875750801;82,615898757508;да
собранный лучший;Б;700,0;M23C6;;0,0011579115774282087;0,11579115774282087;да
собранный лучший;Б;700,0;MNS_Q;;0,0007412000460169942;0,07412000460169942;да
собранный лучший;Б;700,0;P_PHASE;P;0,17194189976906143;17,194189976906145;да
собранный лучший;Б;750,0;FCC_A1;;0,860458214530673;86,04582145306729;да
собранный лучший;Б;750,0;M6C;;0,0016168458698213744;0,16168458698213745;да
собранный лучший;Б;750,0;MNS_Q;;0,0007412000781509895;0,07412000781509895;да
собранный лучший;Б;750,0;P_PHASE;P;0,1371837224862819;13,71837224862819;да
