T, °C;элемент;в сплаве, масс. %;собрано из фаз, масс. %;невязка, масс. %
850,0;MO;13,0;12,99999957293747;-4,2706252934010536e-07
850,0;AL;0,25;0,25000000646851306;6,4685130585218076e-09
850,0;C;0,005;0,004999998347856023;-1,6521439771821633e-09
850,0;FE;0,5;0,5000000114229192;1,1422919166115264e-08
850,0;MN;0,5;0,500000000117708;1,1770795449450588e-10
850,0;NB;0,06;0,06000000133511777;1,3351177732823238e-09
850,0;S;0,02;0,019999994113976998;-5,886023002332763e-09
850,0;SI;0,1;0,10000000214899238;2,148992372941194e-09
850,0;TI;0,1;0,10000000226220641;2,2622064083099858e-09
875,0;NI;61,964999999999996;61,96500054872083;5,487208341037331e-07
875,0;CR;23,5;23,499999850191482;-1,4980851759105462e-07
875,0;MO;13,0;12,9999995621706;-4,378293994022897e-07
875,0;AL;0,25;0,25000000654525223;6,545252229095411e-09
875,0;C;0,005;0,004999999291931372;-7,080686280358517e-10
875,0;FE;0,5;0,5000000108704916;1,0870491617964717e-08
875,0;MN;0,5;0,5000000132900282;1,3290028189061331e-08
875,0;NB;0,06;0,06000000134914636;1,349146364071352e-09
875,0;S;0,02;0,020000003027127948;3,027127947613506e-09
875,0;SI;0,1;0,10000000221025458;2,210254576584525e-09
875,0;TI;0,1;0,10000000233285468;2,3328546733258904e-09
900,0;NI;61,964999999999996;61,9650005154054;5,154054036893285e-07
900,0;CR;23,5;23,49999991980139;-8,019861041930199e-08
900,0;MO;13,0;12,99999943701365;-5,629863508715971e-07
900,0;AL;0,25;0,25000000545394946;5,453949458722462e-09
900,0;C;0,005;0,004999977356521043;-2,2643478957314056e-08
900,0;FE;0,5;0,5000000098263726;9,826372604493372e-09
900,0;MN;0,5;0,5000000850753551;8,507535509405528e-08
900,0;NB;0,06;0,06000000123928569;1,2392856948983955e-09
900,0;S;0,02;0,020000044709444796;4,4709444795704156e-08
900,0;SI;0,1;0,10000000201663652;2,0166365105600548e-09
900,0;TI;0,1;0,10000000210198291;2,1019829071766694e-09
