T, °C;межфазная энергия, Дж/м²;места зарождения;t, ч;средний радиус, нм;число выделений, 1/м³;критический радиус, нм;скорость зарождения, 1/(м³·с)
700,0;0,1;объём зерна;1,0;12,973542196244242;4,758043350674703e+20;0,9702968666649018;8,211762450528638e+16
700,0;0,1;объём зерна;1,6857562755898763;19,190237590315004;5,306566592114008e+20;1,0023260636888807;1,1472227250235324e+16
700,0;0,1;объём зерна;2,9780939460165983;27,916336398219467;5,3493895099614383e+20;1,1119831093291233;8331861770014,722
700,0;0,1;объём зерна;5,27914410712522;37,18049483042183;5,349424699989477e+20;1,5234550313480724;0,01728310036092451
700,0;0,1;объём зерна;9,362767401081063;44,352166518184156;5,3494246999894766e+20;4,051026085325572;2,8541174203280685e-193
700,0;0,1;объём зерна;10,0;44,85380030825044;5,3494246999894766e+20;4,895181618389555;0,0
700,0;0,1;объём зерна;16,55128076765522;46,569416541761655;5,349424699989477e+20;27,490883882990474;0,0
700,0;0,1;объём зерна;28,2496657696895;46,692810132676485;5,3494246999894766e+20;46,27747104037156;0,0
700,0;0,1;объём зерна;53,939897871087986;46,636377412483036;5,349424699986453e+20;40,53870315362742;0,0
700,0;0,1;объём зерна;92,8291097622033;46,61209252958946;5,349420629655869e+20;45,707321934192464;0,0
700,0;0,1;объём зерна;100,0;46,600225803211934;5,3494157020071225e+20;45,34281821269924;0,0
700,0;0,1;объём зерна;162,84675612534966;46,53044802198048;5,344341988932256e+20;44,61032196314446;0,0
700,0;0,1;объём зерна;200,0;46,47434556682345;5,3413290431323714e+20;46,00922722313919;0,0
700,0;0,1;объём зерна;289,13910431616364;46,17256581471063;5,3366295491941e+20;46,33187729548727;0,0
700,0;0,1;объём зерна;510,84780481275953;46,16510936792783;5,0816709098441035e+20;46,56333797145673;0,0
700,0;0,1;объём зерна;906,6415815011952;48,830533914907356;4,107700106288613e+20;49,445072609883354;0,0
700,0;0,1;объём зерна;1000,0;49,69827163458071;3,880485015568868e+20;50,29131915545116;0,0
700,0;0,1;объём зерна;1604,2358578084823;55,127717903810414;2,7724307712962773e+20;55,90317411971777;0,0
700,0;0,1;объём зерна;2838,4150903859304;65,46550938096463;1,6429372755084086e+20;66,34221793628052;0,0
700,0;0,1;объём зерна;5027,783566902507;78,88835116501211;9,388189759135436e+19;79,95758957726815;0,0
700,0;0,1;объём зерна;8905,299439056775;96,19536564069527;5,24693544972104e+19;95,96537198852157;0,0
700,0;0,1;объём зерна;10000,0;99,65897795103982;4,689315806751742e+19;97,94560778572249;0,0
700,0;0,1;объём зерна;15766,106422091332;115,98086719739412;2,9738548660335915e+19;111,39822730664943;0,0
700,0;0,1;объём зерна;27933,333378075782;140,39233624097002;1,6767519744481016e+19;136,75344529506046;0,0
700,0;0,1;объём зерна;49473,47659808442;170,27382593172115;9,468303155491586e+18;169,12933789667576;0,0
700,0;0,1;объём зерна;87600,0;207,6287879648683;5,295812954140228e+18;203,1679286988638;0,0
700,0;0,15;объём зерна;0,001;0,0;6,786909331924611e-18;1,43532185163759;1,3470883880437477e-15
700,0;0,15;объём зерна;0,001769908906321979;0,0;1,7062824868865455e-16;1,43532185163725;2,1825164569953e-14
700,0;0,15;объём зерна;0,0031355141082460083;0,0;1,3433273500657194e-15;1,4353218516377235;1,0548532935621303e-13
700,0;0,15;объём зерна;0,005554586920350339;0,0;5,5027790885902835e-15;1,4353218516374584;2,566882433491496e-13
700,0;0,15;объём зерна;0,009835356723973405;0,0;1,56150133241266e-14;1,4353218516375015;4,2392306347978097e-13
700,0;0,15;объём зерна;0,010000000000000002;0,0;1,514996027341658e-14;1,4353218516371067;4,2849105787449354e-13
700,0;0,15;объём зерна;0,01741420532255206;0,0;3,490313331138239e-14;1,4353218516371802;5,627659223610156e-13
700,0;0,15;объём зерна;0,03084270003851134;0,0;7,285874903487968e-14;1,4353218516377517;6,604621815686256e-13
700,0;0,15;объём зерна;0,054614930997190225;0,0;1,4155415005045788e-13;1,4353218516375883;7,229187026774892e-13
700,0;0,15;объём зерна;0,09671041261606801;0,0;2,641387455894584e-13;1,4353218516371378;7,607649786354508e-13
700,0;0,15;объём зерна;0,10000000000000002;0,0;1,4273673881448172e-13;1,4353218516376727;7,62423598510083e-13
700,0;0,15;объём зерна;0,17127951419477566;0,0;3,473114968680289e-13;1,4353218516374087;7,830113800008935e-13
