T, °C;точка ТЗ;фаза постановки;имена в mc_ni;тип;есть;найдено как;мольная доля, %;массовая доля, %;NI, масс. %;CR, масс. %;MO, масс. %;AL, масс. %;C, масс. %;FE, масс. %;MN, масс. %;NB, масс. %;S, масс. %;SI, масс. %;TI, масс. %
700,0;да;mu;MU_PHASE;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
700,0;да;chi;CHI_A12;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
700,0;да;Laves;LAVES, LAV_C14;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
700,0;да;R;R_PHASE;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
700,0;да;D_NiMo;D_NIMO;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
700,0;да;Ni2Cr;NI2CR;упорядочение;нет;—;0,0;0,0;;;;;;;;;;;
725,0;нет;P;P_PHASE;ТКП;да;P_PHASE;20,752552418224997;22,353997109978472;38,025415764169566;29,95030466764875;32,024279568181676;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
725,0;нет;sigma;SIGMA;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
725,0;нет;mu;MU_PHASE;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
725,0;нет;chi;CHI_A12;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
725,0;нет;Laves;LAVES, LAV_C14;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
725,0;нет;R;R_PHASE;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
725,0;нет;D_NiMo;D_NIMO;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
725,0;нет;Ni2Cr;NI2CR;упорядочение;нет;—;0,0;0,0;;;;;;;;;;;
750,0;да;P;P_PHASE;ТКП;да;P_PHASE;19,095616936837214;20,568156751670898;37,98293890958026;29,991159676293577;32,02590141412617;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
750,0;да;sigma;SIGMA;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
750,0;да;mu;MU_PHASE;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
750,0;да;chi;CHI_A12;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
750,0;да;Laves;LAVES, LAV_C14;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
