B узла, масс. %;SI узла, масс. %;узел;оси задания;T, °C;режим;фаза;мольная доля, %;массовая доля, %;молярная масса фазы, г/моль;pdens точки;сошлась
1,5;0,1;"B=1.5; Si=0.1";перекрёстные узлы;595,0;служба;CR2B;12,294970057952403;8,451703757709218;38,37918169504109;100;да
1,5;0,1;"B=1.5; Si=0.1";перекрёстные узлы;595,0;служба;M2B;10,604146509895251;12,049246448142137;63,43998736489602;100;да
1,5;0,1;"B=1.5; Si=0.1";перекрёстные узлы;595,0;служба;TIB2;0,1698997891232708;0,07050121299409406;23,167686584721906;100;да
1,5;0,1;"B=1.5; Si=0.1";перекрёстные узлы;595,0;служба;M23C6;0,11136390959982757;0,09831346848293916;49,28871196072708;100;да
1,5;0,1;"B=1.5; Si=0.1";перекрёстные узлы;595,0;служба;MNS_Q;0,06964566364858582;0,05426557205480953;43,50200004184444;100;да
1,5;2,0;"B=1.5; Si=2";перекрёстные узлы;580,0;служба;FCC_A1;72,10754630467481;73,73123968267903;55,985962603405376;300;да
1,5;2,0;"B=1.5; Si=2";перекрёстные узлы;580,0;служба;CR2B;12,638505455809943;8,859639031741876;38,382091708292634;300;да
1,5;2,0;"B=1.5; Si=2";перекрёстные узлы;580,0;служба;M2B;10,151590320951954;11,759436724997474;63,42504264037722;300;да
1,5;2,0;"B=1.5; Si=2";перекрёстные узлы;580,0;служба;P_PHASE;3,6503987122005253;4,277205443086819;64,15464993022783;300;да
1,5;2,0;"B=1.5; Si=2";перекрёстные узлы;580,0;служба;GAMMA_PRIME;1,2727831977323651;1,2262494422122783;52,7512458017109;300;да
1,5;2,0;"B=1.5; Si=2";перекрёстные узлы;580,0;служба;M23C6_WY;0,11087555634240458;0,09196409263171064;45,41411019896979;300;да
1,5;2,0;"B=1.5; Si=2";перекрёстные узлы;580,0;служба;MNS_Q;0,06830045194703276;0,05426558265080059;43,502000015714415;300;да
1,5;2,0;"B=1.5; Si=2";перекрёстные узлы;595,0;служба;FCC_A1;73,41343545674201;75,08739936239859;56,00152403454036;100;да
1,5;2,0;"B=1.5; Si=2";перекрёстные узлы;595,0;служба;CR2B;12,29927469516646;8,621713728914015;38,38154285445183;100;да
1,5;2,0;"B=1.5; Si=2";перекрёстные узлы;595,0;служба;M2B;10,490751785061107;12,133411405150952;63,32637711130343;100;да
1,5;2,0;"B=1.5; Si=2";перекрёстные узлы;595,0;служба;P_PHASE;2,5244505988209345;2,9577015732576273;64,14987390047773;100;да
1,5;2,0;"B=1.5; Si=2";перекрёстные узлы;595,0;служба;GAMMA_PRIME;1,0928297125428348;1,0534510491730906;52,780098536338826;100;да
1,5;2,0;"B=1.5; Si=2";перекрёстные узлы;595,0;служба;M23C6_WY;0,11095726564689067;0,09205730669310447;45,42666455129637;100;да
1,5;2,0;"B=1.5; Si=2";перекрёстные узлы;595,0;служба;MNS_Q;0,06830044153376365;0,054265574412625806;43,50200002352207;100;да
2,0;0,1;"B=2; Si=0.1";ось бора;580,0;служба;FCC_A1;70,70887671740086;74,58799686247112;57,67936673728249;100;да
2,0;0,1;"B=2; Si=0.1";ось бора;580,0;служба;M2B;11,114549238493614;12,953230805832284;63,72527637831013;100;да
2,0;0,1;"B=2; Si=0.1";ось бора;580,0;служба;CR2B;9,91966938918587;6,966598593295627;38,40157772604774;100;да
2,0;0,1;"B=2; Si=0.1";ось бора;580,0;служба;CR5B3;7,826499731378666;5,23177172379396;36,551625;100;да
2,0;0,1;"B=2; Si=0.1";ось бора;580,0;служба;TIB2;0,25343578887548096;0,10738301147918902;23,168243735264802;100;да
2,0;0,1;"B=2; Si=0.1";ось бора;580,0;служба;M23C6;0,10876052789927595;0,09875355448066511;49,64858863326289;100;да
2,0;0,1;"B=2; Si=0.1";ось бора;580,0;служба;MNS_Q;0,06820868100340623;0,0542654486471546;43,502000033904594;100;да
2,0;0,1;"B=2; Si=0.1";ось бора;595,0;служба;FCC_A1;70,79340174451265;74,688872989909;57,688414420835464;100;да
2,0;0,1;"B=2; Si=0.1";ось бора;595,0;служба;M2B;11,104104630243611;12,926623439921118;63,654194969770636;100;да
2,0;0,1;"B=2; Si=0.1";ось бора;595,0;служба;CR2B;9,196401573250132;6,459166855188564;38,404671447911745;100;да
2,0;0,1;"B=2; Si=0.1";ось бора;595,0;служба;CR5B3;8,472935163157016;5,663893713119033;36,551625;100;да
2,0;0,1;"B=2; Si=0.1";ось бора;595,0;служба;TIB2;0,2565394666269805;0,10869950185226397;23,168549444035648;100;да
2,0;0,1;"B=2; Si=0.1";ось бора;595,0;служба;M23C6;0,10840866786430468;0,0984779771571781;49,670735282136164;100;да
2,0;0,1;"B=2; Si=0.1";ось бора;595,0;служба;MNS_Q;0,06820877421812073;0,05426552285284652;43,5020000509755;100;да
3,0;0,1;"B=3; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;FCC_A1;64,60512661908805;71,01194117889061;57,7205213637704;100;да
3,0;0,1;"B=3; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;CR5B3;18,84633303294936;13,118002464050123;36,551625;100;да
3,0;0,1;"B=3; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;MOB;11,700949880318129;11,893159215627982;53,3755;100;да
3,0;0,1;"B=3; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;CR2B;3,4006403395241773;2,4909335857156067;38,46513744823522;100;да
3,0;0,1;"B=3; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;M2B;0,9946970688213156;1,2080492005508594;63,77634504581618;100;да
3,0;0,1;"B=3; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;TIB2;0,2829945747262303;0,12486401647765526;23,169946632417613;100;да
3,0;0,1;"B=3; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;M23C6;0,10375247572038261;0,09878476013159468;49,99854010172543;100;да
3,0;0,1;"B=3; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;MNS_Q;0,06550599615157264;0,05426557855557234;43,5020000767576;100;да
3,0;0,1;"B=3; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;FCC_A1;65,04946146134589;71,50510785130139;57,7243701722415;100;да
3,0;0,1;"B=3; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;CR5B3;18,305422111232033;12,741501065503453;36,551625;100;да
3,0;0,1;"B=3; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;MOB;12,72847870561006;12,937567069723096;53,3755;100;да
3,0;0,1;"B=3; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;CR2B;3,4672434424054184;2,539402566856228;38,46033486696049;100;да
3,0;0,1;"B=3; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;TIB2;0,2805026784692017;0,12376671600578604;23,170355516109105;100;да
3,0;0,1;"B=3; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;M23C6;0,10338556399259013;0,0983891504445062;49,97504015908402;100;да
3,0;0,1;"B=3; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;MNS_Q;0,06550599803903612;0,05426558016552918;43,50200010314447;100;да
3,0;2,0;"B=3; Si=2";перекрёстные узлы;580,0;служба;FCC_A1;59,792517687029665;65,02803764966207;56,07224596062934;100;да
3,0;2,0;"B=3; Si=2";перекрёстные узлы;580,0;служба;CR5B3;21,056939276975108;14,92821186298398;36,551625;100;да
3,0;2,0;"B=3; Si=2";перекрёстные узлы;580,0;служба;M2B;11,751990126416574;14,569608106996053;63,91909193435809;100;да
