B узла, масс. %;SI узла, масс. %;узел;оси задания;T, °C;режим;фаза;чем является по модели базы;мольная доля, %;массовая доля, %;x(B) в фазе;x(SI) в фазе;NI, масс. %;CR, масс. %;MO, масс. %;B, масс. %;SI, масс. %;AL, масс. %;C, масс. %;FE, масс. %;MN, масс. %;NB, масс. %;S, масс. %;TI, масс. %
0,3;0,1;"B=0.3; Si=0.1";ось бора;580,0;служба;M2B;борид;3,4379897537530324;3,7207988839808666;0,33333299999999993;0,0;0,4871479573824899;6,890479593960502;86,91800491586254;5,662430154678276;0,0;0,0;0,0;0,04193737811618267;0,0;0,0;0,0;0,0
0,3;0,1;"B=0.3; Si=0.1";ось бора;580,0;служба;CR2B;борид;1,457207623193652;0,9523726740091047;0,333333;0,0;0,0;84,41553895726877;0,0;9,376677623712057;0,0;0,0;0,0;6,207783419019174;0,0;0,0;0,0;0,0
0,3;0,1;"B=0.3; Si=0.1";ось бора;580,0;служба;GAMMA_PRIME;кремний в растворе;1,3024226433444193;1,1951167568833498;0,0;0,00010574255431908218;81,39261957079641;4,051256945601623;0,844356632129178;0,0;0,0055038153768529425;6,013852225895314;0,0;0,9356263065750483;0,0;0,12383199321323486;0,0;6,632952510412322
0,3;0,1;"B=0.3; Si=0.1";ось бора;580,0;служба;M23C6;бор в подрешётке внедрения;0,11786813312929298;0,09824983985581;1,3767104207928687e-05;0,0;19,424435999592596;55,929405962822884;18,867191104133695;0,00030364303163533664;0,0;0,0;5,069421143679047;0,019633374736763114;0,0009372941483888734;0,0;0,0;0,6886714778549942
0,3;0,1;"B=0.3; Si=0.1";ось бора;595,0;служба;FCC_A1;бор в подрешётке внедрения;76,1602819930399;74,78237385786846;1,0705117483269996e-06;0,002747366847736503;71,45898294329356;22,383988303809627;4,447512915399042;2,0043654095800355e-05;0,13363444286775272;0,24858495110476084;3,3012161976932736e-05;0,5916244766048541;0,6227850037654956;0,07838040218645;5,553454630469892e-13;0,034453505151814966
0,3;0,1;"B=0.3; Si=0.1";ось бора;595,0;служба;M2B;борид;3,7329570149174316;4,033228013227676;0,333333;0,0;0,5044964739127972;7,0856551430435895;86,6916348496672;5,671979992014547;0,0;0,0;0,0;0,0462335413618571;0,0;0,0;0,0;0,0
0,3;0,1;"B=0.3; Si=0.1";ось бора;595,0;служба;CR2B;борид;1,162176264599536;0,7594981881859291;0,333333;0,0;0,0;84,51712107592766;0,0;9,377341569024082;0,0;0,0;0,0;6,105537355048254;0,0;0,0;0,0;0,0
0,3;0,1;"B=0.3; Si=0.1";ось бора;595,0;служба;GAMMA_PRIME;кремний в растворе;1,1610434836976922;1,0648992639383752;0,0;0,00011720161413571486;81,41075087418972;3,8437375691644298;0,8106003278573849;0,0;0,006103037088212557;6,019562209484959;0,0;0,8744690928238982;0,0;0,1300850303624782;0,0;6,904691859028919
0,3;0,1;"B=0.3; Si=0.1";ось бора;595,0;служба;M23C6;бор в подрешётке внедрения;0,11774283384431097;0,098119130325002;1,782570558449588e-05;0,0;19,471902638108254;55,905434566357364;18,808966967948034;0,00039326354382232233;0,0;0,0;5,0706786912873545;0,02119633616262129;0,0010404929845889356;0,0;0,0;0,7203870436079749
0,5;0,1;"B=0.5; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;FCC_A1;бор в подрешётке внедрения;76,82206098353215;76,09942240342583;8,331391421419162e-07;0,0026997886717444897;71,93570050015303;22,17037284483168;4,314070518024104;1,559967456273581e-05;0,13132398801999184;0,23819500377569133;2,649123209224964e-05;0,4927375908798077;0,6120066745607738;0,07701347129314036;5,553618020200034e-13;0,028537317554598523
0,5;0,1;"B=0.5; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;M2B;борид;5,138304634931876;5,607154708224561;0,333333;0,0;0,48431248162945845;6,968861960377854;86,84517023417473;5,66564066410361;0,0;0,0;0,0;0,03601465971434316;0,0;0,0;0,0;0,0
0,5;0,1;"B=0.5; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;CR2B;борид;2,9487003828347813;1,9437553369374687;0,33333300000000005;0,0;0,0;84,78482797205147;0,0;9,379091313378945;0,0;0,0;0,0;5,83608071456958;0,0;0,0;0,0;0,0
0,5;0,1;"B=0.5; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;GAMMA_PRIME;кремний в растворе;1,2373945436226754;1,1453628096879922;0,0;0,0001060041103577072;81,41284540135705;4,021164270458122;0,8282803525221932;0,0;0,005518201097072422;6,001153100191942;0,0;0,8342153331986448;0,0;0,12163770756193218;0,0;6,775185633613059
0,5;0,1;"B=0.5; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;M23C6;бор в подрешётке внедрения;0,11681108085465997;0,09822421236743917;1,3982843048655809e-05;0,0;19,407475961040852;55,9538087189983;18,855988637874226;0,00030842841079787247;0,0;0,0;5,069861474155603;0,01650551045266706;0,0008985917870034958;0,0;0,0;0,6951526772805368
0,5;0,1;"B=0.5; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;FCC_A1;бор в подрешётке внедрения;78,17023435982233;77,43962436656388;1,0995343343725681e-06;0,002653260040085485;71,48932104585622;22,47393311299895;4,447282280686485;2,058639862348312e-05;0,12905287721701164;0,24412401132349806;3,329088228274629e-05;0,5030931879651097;0,6014149162094105;0,0758033955645059;5,55327692483426e-13;0,03592129489736007
0,5;0,1;"B=0.5; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;M2B;борид;5,442569942190427;5,929308994456724;0,33333300000000005;0,0;0,5017612515057563;7,161763914176365;86,62150069621923;5,675075619499698;0,0;0,0;0,0;0,039898518598938996;0,0;0,0;0,0;0,0
0,5;0,1;"B=0.5; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;CR2B;борид;2,6443677917708954;1,743029726278051;0,33333299999999993;0,0;0,0;84,87740784834087;0,0;9,379696419628566;0,0;0,0;0,0;5,742895732030569;0,0;0,0;0,0;0,0
0,5;0,1;"B=0.5; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;GAMMA_PRIME;кремний в растворе;1,0972030146397886;1,0151767034504648;0,0;0,00011715224120917036;81,42773379463462;3,8177660379388314;0,7959274257952424;0,0;0,006101064967079457;6,004007388949331;0,0;0,7804403238435692;0,0;0,12787283152369597;0,0;7,040151132347632
0,5;0,1;"B=0.5; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;M23C6;бор в подрешётке внедрения;0,11668166703998617;0,09808964601097751;1,8091364434479183e-05;0,0;19,457072627982846;55,92770698136679;18,798217431552796;0,0003991574013665581;0,0;0,0;5,07109141400535;0,017924420393196437;0,0009981042996181782;0,0;0,0;0,726589862998037
0,5;2,0;"B=0.5; Si=2";перекрёстные узлы;580,0;служба;FCC_A1;бор в подрешётке внедрения;64,00341797697678;62,459359203245256;7,310922384794148e-08;0,06196742249190676;75,66361220342323;17,85213526043142;1,8411465216295235;1,4181122520176916e-06;3,122612980436607;0,23165706881131196;1,2816815815516981e-06;0,41926243298768506;0,745659944507872;0,09529277306900802;5,753303692449267e-13;0,028618114908923294
0,5;2,0;"B=0.5; Si=2";перекрёстные узлы;580,0;служба;CR2B;борид;5,391048413537858;3,628424523252924;0,33333299999999993;0,0;0,0;84,14224045650032;0,0;9,374891332376876;0,0;0,0;0,0;6,482868211122792;0,0;0,0;0,0;0,0
