шаг;время, с;C в матрице, мол. доля;C в матрице до зажима;xEqAlpha C (kawin);доля M23C6;частиц, 1/м³;средний радиус, нм;C в выделениях / C сплава;невязка C (x0 − [(1−f)x + f_conc]);движущая сила, Дж/м³;зарождение, 1/(м³·с);Rcrit, нм
1095;1.163793862441222;3.8803320834897035e-05;3.8803320834897035e-05;2.7511191734327865e-05;0.04408231877874469;1.7084616309099406e+22;7.610838739115479;0.9959494964016321;0.0;81094461.27561435;0.0;7.3987790357320495
1096;1.2049027675079689;0.002939140650170311;0.002939140650170311;2.751110640573616e-05;0.030488874343365568;1.7060294719793728e+22;6.518128467432455;0.6888335253083135;0.0;1074474570.6127384;8.760557552677606e+18;0.5584124709976517
1097;1.2053474157619934;0.002926114507877968;0.002926114507877968;2.7511191733912487e-05;0.030550790129050834;1.701680245008965e+22;6.539475714447021;0.69023238537922;0.0;1073554834.5107962;8.333184949430716e+18;0.5588908742359784
1098;1.2092522863365442;0.00281153668902556;0.00281153668902556;2.7511191734380148e-05;0.031095060250676824;1.7089378478503422e+22;6.570354856574298;0.7025290514475494;0.0;1065261419.3534101;5.27787845652793e+18;0.5632420259471957
1099;1.2131543430909602;0.0026969623765834496;0.0026969623765834496;2.7511191734356956e-05;0.03163870295656199;1.720247899147882e+22;6.586069471124844;0.7148115423452337;0.0;1056574600.757893;3.233478151417381e+18;0.5678728218240464
1100;1.2170564750443045;0.0025823779611397627;0.0025823779611397627;2.7511191734328455e-05;0.03218178379680131;1.737802268940415e+22;6.579465681975984;0.7270813390421018;0.0;1047459199.2453276;1.9083809789925028e+18;0.5728146742443881
1101;1.2209617258466225;0.002467763709304245;0.002467763709304245;2.7511191734349668e-05;0.032724397006223004;1.7649499095798125e+22;6.540278387761917;0.7393405705806428;0.0;1037874642.8586015;1.0797823926324028e+18;0.578104498581283
1102;1.2248733464088069;0.002353090231137192;0.002353090231137192;2.7511191734195376e-05;0.033266682039104524;1.806796939534289e+22;6.454424184147662;0.7515923876439707;0.0;1027773565.8034014;5.823088768572063e+17;0.5837861762196476
1103;1.2287948608115862;0.002238313170823401;0.002238313170823401;2.751119173429786e-05;0.03380884838006051;1.8711154818405504e+22;6.303871534355755;0.7638415231069036;0.0;1017099847.7501942;2.971936853476412e+17;0.5899125846171237
1104;1.2325316764948697;0.00212917464093248;0.00212917464093248;2.7511191734341953e-05;0.03432381655215644;1.959097466541336e+22;6.094783295034534;0.7754761717794482;0.0;1006373629.7263753;1.4793661403677734e+17;0.5962000416914094
1105;1.2360376958154295;0.0020270419206971915;0.0020270419206971915;2.7511191734162674e-05;0.03480523096846751;2.070781865729101e+22;5.841325040669862;0.7863527422223962;0.0;995773446.1561626;7.261086466727512e+16;0.6025466960542998
1106;1.2393312245717942;0.0019313882781197263;0.0019313882781197263;2.7511191734214458e-05;0.035255670418286006;2.206437493156967e+22;5.55809991949234;0.7965294968858205;0.0;985301644.0283474;3.5141763882440668e+16;0.6089505722805206
1107;1.2424301365438617;0.001842026640760386;0.001842026640760386;2.751119173412409e-05;0.03567610070574005;2.367066633714992e+22;5.259021072739568;0.8060282561313021;0.0;974995061.3442926;1.681315224284442e+16;0.6153877325006536
1108;1.2453616842361739;0.0017579861174686778;0.0017579861174686778;2.7511191734278863e-05;0.03607116189221038;2.546246056974935e+22;4.964324644441725;0.8149538526201752;0.0;964794771.1080867;7918086995364958.0;0.6218939177198147
1109;1.2481344895380835;0.0016788759519901022;0.0016788759519901022;2.7511191734210802e-05;0.03644275059481778;2.743335094385845e+22;4.681091600865265;0.8233491365227276;0.0;954699532.1513281;3669304356839528.0;0.6284699843184743
1110;1.2507567116923273;0.0016044480797644048;0.0016044480797644048;2.7511191734202447e-05;0.03679208461482035;2.954620779717656e+22;4.416872556563347;0.8312416215583667;0.0;944722912.3865976;1674541185873422.8;0.6351068574003942
1111;1.2532397905395734;0.0015343597046797457;0.0015343597046797457;2.7511191734113844e-05;0.037120819310307196;3.176639582156565e+22;4.175250006738218;0.8386687071448385;0.0;934863249.776926;752365592609192.1;0.641805098385427
1112;1.2555941704534577;0.001468296481292072;0.001468296481292072;2.7511191734244527e-05;0.03743046952046961;3.4059485695621772e+22;3.9574164469186743;0.845664617963863;0.0;925118608.105908;332691553130032.25;0.6485654863525474
1113;1.2578293277249284;0.0014059903865892883;0.0014059903865892883;2.751119173412729e-05;0.037722326956323105;3.6339000347505092e+22;3.767420836135793;0.8522585375740882;0.0;915490044.0251524;144777900554176.94;0.6553867012709047
1114;1.2599545295844161;0.0013471766739089376;0.0013471766739089376;2.7511191734235186e-05;0.0379976628583042;3.8531053201133465e+22;3.6056592994436687;0.858479187043453;0.0;905975650.062685;61982772483208.99;0.6622694549886474
1115;1.2604085584534215;0.0013359904767772078;0.0013359904767772078;2.751119173415934e-05;0.03805001311323226;3.2809383605996804e+22;4.112149195483468;0.8596619335839373;0.0;904116218.7850968;52348651833106.234;0.6636314972938413
1116;1.2626161951066934;0.0012749336402396608;0.0012749336402396608;2.7511191734146668e-05;0.03833565245239297;3.476684181539573e+22;3.933932988419028;0.8661153680644932;0.0;893667471.1942246;19864872655027.93;0.6713906674909055
1117;1.264504357346318;0.0012233226126977215;0.0012233226126977215;2.7511191734236304e-05;0.03857696963957288;3.6156487554920754e+22;3.820505318563075;0.8715674345097993;0.0;884414183.7256055;8182611234322.76;0.6784151713538703
1118;1.2663090321406139;0.0011746785868591563;0.0011746785868591563;2.7511191734262322e-05;0.038804303204144484;3.748115288739822e+22;3.7207324839918448;0.8767035697091901;0.0;875308131.1814638;3325359646524.871;0.6854728964874787
1119;1.268043753650212;0.0011283894309355275;0.0011283894309355275;2.75111917343459e-05;0.03902053168665726;3.872366896791121e+22;3.6330401827103898;0.8815888083770375;0.0;866266865.5248308;1322217822689.5867;0.6926272074789422
1120;1.2697058348474122;0.001084419484141399;0.001084419484141399;2.751119173410588e-05;0.03922583647424245;3.988657876716856e+22;3.5559829389843376;0.8862272485832026;0.0;857310580.7474991;515196078308.49695;0.6998630525204215
1121;1.2701495517476349;0.001074226434436056;0.001074226434436056;2.751119173438765e-05;0.03927341740984136;3.3823186276683298e+22;4.066545721415832;0.8873022421443603;0.0;855180003.7544053;409921199599.31665;0.7016066762153982
1122;1.2719305614066536;0.0010273806150729228;0.0010273806150729228;2.7511191734198198e-05;0.039492032094608984;3.4867930476665897e+22;3.9756333567906204;0.8922413921535312;0.0;845108200.399906;135895169187.06122;0.7099682617161678
1123;1.2734249768701522;0.0009885251882676355;0.0009885251882676355;2.7511191734255312e-05;0.03967328266395646;3.5573600664716357e+22;3.918502590147885;0.8963363766794172;0.0;836383268.7833078;50553354182.97908;0.7173744650258534
1124;1.274857542929356;0.0009516272947780544;0.0009516272947780544;2.7511191734136602e-05;0.03984533853292068;3.622736074812798e+22;3.8676782063753383;0.9002236258259046;0.0;827760230.0247899;18445848402.70418;0.7248475805391509
1125;1.2762327208033055;0.0009167237440532252;0.0009167237440532252;2.7511191734255644e-05;0.04000803799363407;3.610910598140254e+22;3.884451811350284;0.9038994861356952;0.0;819276626.9010671;6630792088.285156;0.7323533716194418
1126;1.2775607545096535;0.0008835634567760898;0.0008835634567760898;2.75111917343239e-05;0.04016256033473308;3.5107249473831563e+22;3.9809590043448524;0.9073906012145723;0.0;810899713.2912741;2339189607.7538342;0.7399188705650471
1127;1.278846314086703;0.0008519487958643328;0.0008519487958643328;2.7511191734128663e-05;0.04030983395779415;3.347800832037111e+22;4.145729105861873;0.9107179463902448;0.0;802603597.480657;807037119.5291629;0.7475670454049519
1128;1.2800900223049456;0.0008217911524256149;0.0008217911524256149;2.7511191734210023e-05;0.04045027810417504;3.1442152079451478e+22;4.373574342685344;0.9138909935605327;0.0;794386840.9960426;272142173.4371306;0.7552995203793778
1129;1.2812924255214222;0.0007929992861395518;0.0007929992861395518;2.751119173423907e-05;0.04058432347583823;2.922708997334795e+22;4.656540665296553;0.9169194735520909;0.0;786245531.8353877;89610607.59563452;0.7631203939555347
1130;1.2824536443595276;0.0007654983718987354;0.0007654983718987354;2.7511191734264768e-05;0.04071232363793075;2.702795258799441e+22;4.983004783003203;0.9198113744435845;0.0;778178656.5128257;28795292.170097213;0.7710311699998559
1131;1.2835738249489397;0.0007392234925648414;0.0007392234925648414;2.751119173431799e-05;0.0408345854471961;2.4992801453648856e+22;5.336440685784828;0.9225736290331888;0.0;770186789.0890533;9026342.552445397;0.7790317991686879
1132;1.2846533577359738;0.0007141174343312015;0.0007141174343312015;2.7511191734301333e-05;0.04095137940608209;2.321505065326028e+22;5.696405590365763;0.9252123487683979;0.0;762271786.4203566;2759612.3640217567;0.7871208284090008
1133;1.2856930255927217;0.0006901276110529195;0.0006901276110529195;2.7511191734290308e-05;0.0410629540431104;2.1736156942260358e+22;6.041574737610081;0.9277331486409569;0.0;754436074.9443148;822813.2218628513;0.7952960097305608
1134;1.286682155216045;0.000667482917603658;0.000667482917603658;2.7511191734250856e-05;0.04116824877953386;2.053446938271919e+22;6.359584477602104;0.9301120670513293;0.0;746778077.6303942;243000.23830965837;0.8034515446729013
1135;1.2876158344471962;0.0006462682324380092;0.0006462682324380092;2.751119173422891e-05;0.04126687319538727;1.9598294822490928e+22;6.635474086516271;0.9323402832618948;0.0;739357285.7314391;71868.31729647015;0.8115156387570127
1136;1.288498213529746;0.0006263637187696485;0.0006263637187696485;2.7511191734207566e-05;0.041359388341717075;1.89028934948604e+22;6.859458504386235;0.9344304730692675;0.0;732163580.3169924;21292.478506249015;0.8194889996306948
1137;1.2893333074895026;0.0006076626183139537;0.0006076626183139537;2.7511191734176565e-05;0.04144629381906603;1.8403734066524785e+22;7.032167109181949;0.936393923922084;0.0;725187680.4319515;6321.534345835357;0.8273720254632778
1138;1.2901250102543624;0.0005900656591138441;0.0005900656591138441;2.751119173431528e-05;0.04152805387799828;1.805400925675272e+22;7.160418229863222;0.9382411246087818;0.0;718419546.6295307;1880.9317787962923;0.835166585896644
1139;1.290876936914233;0.0005734817606441703;0.0005734817606441703;2.7511191734361957e-05;0.04160509422759823;1.7812994235895533e+22;7.253300676600587;0.9399816931521873;0.0;711848953.7937764;560.8632566640724;0.8428754397998607
1140;1.2915923543151393;0.0005578282722824914;0.0005578282722824914;2.7511191734324636e-05;0.04167780100436035;1.7648660764549097e+22;7.319627396038907;0.9416243535136962;0.0;705465939.2624245;167.57853312642277;0.8505017274502427
1141;1.2922741735658851;0.0005430306996592017;0.0005430306996592017;2.7511191734175508e-05;0.041746522111059885;1.7537314564225335e+22;7.366769217472819;0.9431769658423056;0.0;699261065.5103086;50.16361954453765;0.8580486310390102
1142;1.2929249761894095;0.0005290220881633869;0.0005290220881633869;2.751119173424865e-05;0.04181157013828559;1.746209691026716e+22;7.400390932632986;0.9446465924806526;0.0;693225533.0959735;15.041838279139306;0.865519187269943
1143;1.2935470538182052;0.0005157422482805549;0.0005157422482805549;2.751119173425887e-05;0.04187322601103104;1.7411312215157312e+22;7.424625453939171;0.9460395803522579;0.0;687351184.8841599;4.517447214897829;0.8729162227328068
1144;1.29414244844567;0.0005031369853845573;0.0005031369853845573;2.7511191734211283e-05;0.04193174260609348;1.737697814418567e+22;7.442391000225951;0.9473616426892258;0.0;681630475.0379395;1.3586646148451311;0.8802423335996002
1145;1.2947129893725078;0.000491157373341782;0.000491157373341782;2.7511191734313605e-05;0.04198734815879804;1.7353701988424309e+22;7.4557065740962996;0.9486179360001833;0.0;676056409.7219875;0.40917873014895995;0.8874999058832029
1146;1.2952603241640042;0.0004797591204721445;0.0004797591204721445;2.7511191734234654e-05;0.042040249234918156;1.7337861952437794e+22;7.465952299224893;0.949813127214724;0.0;670622491.8152262;0.12338345318580977;0.8946911374474381
1147;1.2957859443964796;0.00046890201618362024;0.00046890201618362024;2.7511191734106698e-05;0.04209063332315914;1.732703236840757e+22;7.47406570055106;0.9509514522552494;0.0;665322664.8887401;0.037248667082640394;0.9018180676293903
1148;1.2962912064249386;0.0004585494615550287;0.0004585494615550287;2.7511191734325856e-05;0.04213867103394432;1.7319589476011851e+22;7.48068234955769;0.9520367657140292;0.0;660151271.8915645;0.011257607957230605;0.9088825933498392
1149;1.296777348845336;0.00044866805683272857;0.00044866805683272857;2.751119173417102e-05;0.042184518030732185;1.7314445001572013e+22;7.486233631313339;0.9530725844873467;0.0;655103008.3749207;0.003405946640744313;0.9158864977408486
1150;1.2972455062674673;0.00043922725946910174;0.00043922725946910174;2.7511191734159573e-05;0.042228316631244246;1.7310867744339379e+22;7.491013449821202;0.9540621239519566;0.0;650172896.8458698;0.0010314873419315271;0.9228314543881029
1151;1.297696721516305;0.00043019907350755305;0.00043019907350755305;2.7511191734262264e-05;0.042270197260969866;1.7308364708827269e+22;7.495223252643059;0.9550083308040407;0.0;645356249.0769589;0.00031268287718225446;0.9297190518541796
1152;1.2981319551570596;0.0004215577950908129;0.0004215577950908129;2.7511191734352937e-05;0.042310279644390686;1.730660210409665e+22;7.499002228202156;0.9559139099724805;0.0;640648649.3447484;9.48725201310404e-05;0.9365507920974724
1153;1.2985520943215394;0.0004132797757416137;0.0004132797757416137;2.7511191734331765e-05;0.0423486739121724;1.7305352851478924e+22;7.502447515989466;0.95678134963358;0.0;636045927.9295719;2.8810866765311055e-05;0.9433281051780223
1154;1.298957959913195;0.0004053432226546792;0.0004053432226546792;2.751119173419898e-05;0.042385481535331906;1.7304461667120424e+22;7.505627724205513;0.9576129423166561;0.0;631544141.5489404;8.756615182423781e-06;0.950052356638802
1155;1.2995273384109605;0.000394330238784895;0.000394330238784895;2.7511191734451776e-05;0.04243655213965502;1.7303704831097678e+22;7.509846623314603;0.9587667777787111;0.0;625146567.1210834;1.5416778228775264e-06;0.9597749256836073
1156;1.3000837133578789;0.00038368619186023896;0.00038368619186023896;2.7511191734238327e-05;0.04248590669316476;1.7303187446405418e+22;7.513834234181118;0.9598818425955112;0.0;618788324.0565889;2.60008520202942e-07;0.9696369124526811
1157;1.3006251810517977;0.0003734407481216614;0.0003734407481216614;2.7511191734223446e-05;0.042533408189367794;1.7302833403698887e+22;7.517610270495123;0.9609550413866005;0.0;612496595.3592982;4.2291114326314064e-08;0.9795972819212692
1158;1.301152297103647;0.0003635764132307458;0.0003635764132307458;2.751119173417239e-05;0.04257913827723519;1.7302590383122394e+22;7.521201940016097;0.9619882188428621;0.0;606271017.3735105;6.629930785125898e-09;0.989656412406653
1159;1.301665623232977;0.0003540759860416683;0.0003540759860416683;2.7511191734233194e-05;0.042623177195397634;1.730242300761179e+22;7.5246296973780495;0.9629831877914357;0.0;600110840.6398118;1.00102316972656e-09;0.9998152997208088
1160;1.3021656942346895;0.0003449231659896423;0.0003449231659896423;2.751119173428514e-05;0.04266560096054673;1.7302307319421463e+22;7.5279091791595025;0.9639416656734127;0.0;594015321.2411629;1.4545356686775201e-10;1.0100749568989775
1161;1.30265301913237;0.00033610250720573435;0.00033610250720573435;2.7511191734183267e-05;0.04270648158463541;1.7302227058154218e+22;7.531052672519096;0.9648652794510375;0.0;587983730.1070675;2.0324206565609532e-11;1.0204363986240648
1162;1.303128083016413;0.0003275993615119628;0.0003275993615119628;2.751119173423539e-05;0.042745887343176005;1.7302171159476713e+22;7.534070113430581;0.9657555716693491;0.0;582015343.060925;2.728778103773069e-12;1.030900657780756
1163;1.3035913479945545;0.0003193998388625927;0.0003193998388625927;2.751119173440971e-05;0.04278388296227669;1.7302132073356436e+22;7.536969759826303;0.9666140046818842;0.0;576109450.7375371;3.5175356398547176e-13;1.0414687681861112
1164;1.304043254865674;0.0003114907562052248;0.0003114907562052248;2.7511191734167146e-05;0.04282052985898425;1.730210463196049e+22;7.539758654592588;0.9674419660807336;0.0;570265351.0403014;4.34978097593857e-14;1.0521417773418205
1165;1.304484224123297;0.0003038595996373616;0.0003038595996373616;2.75111917342282e-05;0.04285588631968511;1.7302085286431663e+22;7.542442939900578;0.9682407727271428;0.0;564482351.7425425;5.155736735849538e-15;1.062920741716398
1166;1.3049146571058596;0.0002964944852434565;0.0002964944852434565;2.751119173416587e-05;0.04289000768433004;1.7302071591299264e+22;7.545028075191209;0.9690116749136908;0.0;558759769.9534531;5.852442253028601e-16;1.0738067274420675
1167;1.3053349370479927;0.0002893841228566621;0.0002893841228566621;2.751119173424969e-05;0.04292294651684197;1.730206185538417e+22;7.547518988926611;0.9697558602143096;0.0;553096934.2019885;6.356648360092777e-17;1.0848008059666494
1168;1.3057454302314482;0.0002825177794359611;0.0002825177794359611;2.7511191734264846e-05;0.042954752777064585;1.7302054904819238e+22;7.549920186468843;0.9704744573691035;0.0;547493176.7534839;6.6005030148911445e-18;1.0959040687189385
1169;1.306146486521109;0.00027588525375469924;0.00027588525375469924;2.7511191734152418e-05;0.0429854739400962;1.7302049921729907e+22;7.5522358242390215;0.9711685389804582;0.0;541947844.5299739;6.546213067031873e-19;1.1071176056071856
1170;1.306538440660115;0.0002694768395657309;0.0002694768395657309;2.7511191734303752e-05;0.04301515516880874;1.7302046334074522e+22;7.554469767705999;0.9718391254107501;0.0;536460289.0087776;6.19534359071098e-20;1.1184425246249359
1171;1.3069216127845285;0.0002632833026489406;0.0002632833026489406;2.7511191734149765e-05;0.04304383942188447;1.730204374019177e+22;7.556625630778283;0.9724871872232159;0.0;531029871.3435095;5.589756870512278e-21;1.1298799415595877
1172;1.3072963092746916;0.00025729585325741123;0.00025729585325741123;2.7511191734282176e-05;0.043071567583008695;1.7302041856940402e+22;7.558706807406866;0.9731136481007937;0.0;525655960.62291163;4.803464263679667e-22;1.1414309832784724
1173;1.3076628234460637;0.00025150612200197734;0.00025150612200197734;2.7511191734316064e-05;0.04309837857399198;1.7302040483934687e+22;7.560716495541007;0.9737193874018919;0.0;520337936.330618;3.927573562055334e-23;1.1530967821242335
1174;1.3080214363765161;0.00024590613446682364;0.00024590613446682364;2.751119173432129e-05;0.04312430947363693;1.7302039478791729e+22;7.562657717072577;0.9743052428459368;0.0;515075179.8084203;3.052575727040359e-24;1.16487849448146
1175;1.3083724171198876;0.0002404882962227943;0.0002404882962227943;2.7511191734448225e-05;0.043149395588338434;1.7302038739939548e+22;7.564533331089107;0.9748720121084397;0.0;509867088.7401422;2.252881037419848e-25;1.176777268528102
1176;1.3087160238799858;0.00023524536357067793;0.00023524536357067793;2.7511191734338514e-05;0.04317367058865377;1.7302038194630238e+22;7.566346049917181;0.9754204559065197;0.0;504713059.78663176;1.5771986706740017e-26;1.188794282940986
1177;1.309052503982866;0.00023017043354884673;0.00023017043354884673;2.7511191734218642e-05;0.043197166556573095;1.7302037790554132e+22;7.568098446981114;0.9759512990668847;0.0;499612503.0107518;1.0462843960747844e-27;1.2009307140719971
1178;1.3093820947977517;0.000225256920059242;0.000225256920059242;2.7511191734030106e-05;0.043219914096977646;1.7302037489948853e+22;7.569792968389989;0.9764652330439969;0.0;494564831.53115976;6.56987284886159e-29;1.2131877597167913
1179;1.309705023947355;0.00022049854130893725;0.00022049854130893725;2.751119173419215e-05;0.04324194239662516;1.7302037265446922e+22;7.571431939847978;0.97696291725273;0.0;489569473.26923275;3.9005794511882016e-30;1.2255666105840657
1180;1.3100215102640216;0.00021588929686478601;0.00021588929686478601;2.751119173433193e-05;0.04326327933114827;1.7302037097136897e+22;7.57301757658612;0.9774449814857781;0.0;484625853.609671;2.187134060343699e-31;1.2380684924895775
1181;1.3103317636045544;0.00021142346195292592;0.00021142346195292592;2.7511191734034917e-05;0.04328395149215253;1.7302036970476373e+22;7.574551986951095;0.9779120265258782;0.0;479733412.98772687;1.156903585613167e-32;1.2506946227974118
1182;1.3106359857820848;0.0002070955659780938;0.0002070955659780938;2.751119173427963e-05;0.04330398428730502;1.7302036874803494e+22;7.576037181122274;0.9783646264071088;0.0;474891589.8506805;5.766117778340307e-34;1.263446253467359
1183;1.3109343703976852;0.0002029003873105765;0.0002029003873105765;2.751119173423498e-05;0.04332340196506365;1.7302036802272028e+22;7.577475074013415;0.9788033289735976;0.0;470099838.49224156;2.704678966394158e-35;1.276324624837969
1184;1.3112271037828498;0.00019883293274177062;0.00019883293274177062;2.7511191734189365e-05;0.04334222771032248;1.730203674708612e+22;7.578867493261453;0.9792286580404286;0.0;465357616.543024;1.192515098980177e-36;1.2893309976468985
1185;1.3115143651380996;0.00019488842928531446;0.00019488842928531446;2.751119173425422e-05;0.04336048368286423;1.7302036704948738e+22;7.580216177850071;0.9796411142624011;0.0;460664388.37273663;4.936141018047318e-38;1.3024666441429438
1186;1.3117963268747077;0.00019106242886147558;0.00019106242886147558;2.751119173424341e-05;0.04337819053335653;1.730203647913438e+22;7.581521482878126;0.9800411641989569;0.0;456019765.0673064;1.915926260171949e-39;1.3157324439905422
1187;1.3120731633723752;0.00018735045081524538;0.00018735045081524538;2.7511191734183622e-05;0.043395369058228245;1.730202344757936e+22;7.582790086930834;0.9804292777027128;0.0;451423084.6240432;6.963621139561744e-41;1.329130078714728
1188;1.3123450343176282;0.00018374831485850243;0.00018374831485850243;2.7511191734287787e-05;0.043412038659146376;1.7301999033657628e+22;7.584023012852269;0.9808058931145055;0.0;446873829.1061208;2.366916282118884e-42;1.342660860673306
1189;1.312612093421803;0.00018025202201473785;0.00018025202201473785;2.7511191734341116e-05;0.04342821789440013;1.7301961994130285e+22;7.585222265711896;0.9811714297207812;0.0;442371480.43195796;7.513369998529849e-44;1.3563261343478203
1190;1.3128744883179484;0.00017685774926468306;0.00017685774926468306;2.7511191734345043e-05;0.04344392450401742;1.7301911587701303e+22;7.586389583998922;0.9815262883210524;0.0;437915541.2481072;2.2243166460598347e-45;1.3701272128637736
1191;1.3131323616825192;0.00017356183005133333;0.00017356183005133333;2.751119173426938e-05;0.04345917550028781;1.730184743753485e+22;7.587526500916489;0.9818708532730762;0.0;433505506.46461314;6.132784842696228e-47;1.384065464111879
1192;1.3133858506661673;0.0001703607568568376;0.0001703607568568376;2.751119173432439e-05;0.04347398715612311;1.730176943040379e+22;7.588634383767792;0.9822054922298894;0.0;429140884.4098685;1.572525969725094e-48;1.398142246048376
1193;1.313635087565185;0.0001672511681176199;0.0001672511681176199;2.7511191734272175e-05;0.043488375065869354;1.7301677642188121e+22;7.589714468224087;0.9825305575137276;0.0;424821192.13722306;3.7444272027460326e-50;1.412358919717432
1194;1.313880200202573;0.0001642298392308351;0.0001642298392308351;2.751119173442041e-05;0.04350235418716307;1.7301572282836211e+22;7.590767883508698;0.9828463870616806;0.0;420545942.2643162;8.2674672625381e-52;1.4267168927358134
1195;1.3141213115483785;0.00016129368318012547;0.00016129368318012547;2.7511191734240265e-05;0.04351593883826157;1.7301453656051019e+22;7.591795668529795;0.9831533043653787;0.0;416314660.30208284;1.6900554089619107e-53;1.4412175626114943
