Temperature (°C),Temperature (K),NP(LIQUID),"X(LIQUID,AL)","X(LIQUID,FE)","X(LIQUID,MG)","X(LIQUID,MN)","X(LIQUID,SI)"
665.0000000000001,938.1500000000001,1.0,0.9151275130591188,0.001215306450629472,0.005584959419818846,0.0007412488916346508,0.07733097217879822
660.0000000000001,933.1500000000001,1.0,0.915127513062777,0.0012153064505791818,0.005584959416082883,0.0007412488916455746,0.0773309721789155
655.0000000000001,928.1500000000001,1.0,0.915127513059444,0.0012153064506102067,0.0055849594194976775,0.0007412488916389246,0.0773309721788093
650.0000000000001,923.1500000000001,1.0,0.9151275130592765,0.0012153064506229805,0.005584959419660657,0.0007412488916360193,0.07733097217880369
645.0000000000001,918.1500000000001,1.0,0.9151275130595539,0.0012153064506792467,0.0055849594193289505,0.0007412488916240775,0.0773309721788139
640.0000000000001,913.1500000000001,1.0,0.9151275130566181,0.0012153064506635568,0.005584959422389451,0.0007412488916124593,0.0773309721787166
635.0000000000001,908.1500000000001,1.0,0.915127513059241,0.0012153064506197561,0.005584959419703712,0.0007412488916325878,0.07733097217880291
630.0000000000001,903.1500000000001,1.0,0.9151275130601398,0.0012153064505917442,0.005584959418793697,0.0007412488916432204,0.07733097217883166
625.0000000000001,898.1500000000001,1.0,0.9151275130565468,0.0012153064507086605,0.005584959422429396,0.0007412488916010209,0.07733097217871417
620.0000000000001,893.1500000000001,1.0,0.9151275130477273,0.0012153064505895067,0.005584959431701014,0.0007412488915698229,0.0773309721784124
615.0000000000001,888.1500000000001,1.0,0.9151275130582655,0.001215306450621364,0.005584959420695237,0.0007412488916481469,0.07733097217876987
610.0000000000001,883.1500000000001,1.0,0.9151275130448643,0.0012153064510013576,0.005584959434283017,0.0007412488915320005,0.07733097217831934
605.0000000000001,878.1500000000001,0.9534212218439142,0.9114937086517837,0.0012740546921103909,0.005788373405237964,0.0007718973506971181,0.08067196590017084
602.8906250000001,876.0406250000001,1.0,,,,,
