источник;T, °C;узел Ni, ат. %;узел Cr, ат. %;узел Mo, ат. %;мольная доля P, %;x(Ni) в P;x(Cr) в P;x(Mo) в P;прочие элементы в P, мольн. доля;Mo − 12/56, ат. %;Ni/Cr;y(Ni) подрешётки 1;y(Cr) подрешётки 2;y(Mo) подрешётки 3
13-А, сечение;1100,0;35,0;37,5;27,5;47,258420562785865;0,4026811515494316;0,38303313416485407;0,21428571428571427;0,0;0,0;1,051295868769727;0,9395893536153406;1,0;1,0
13-А, сечение;1100,0;32,5;37,5;30,0;22,88618897075187;0,4018128404949848;0,3839014452193008;0,21428571428571427;0,0;0,0;1,0466562329960811;0,9375632944882979;0,9999999999999999;1,0
13-А, сечение;1100,0;52,5;40,0;7,5;4,756295177362997;0,3910510616052919;0,39466322410899385;0,21428571428571427;0,0;0,0;0,9908474813890833;0,9124524770790146;1,0;1,0
13-А, сечение;1100,0;50,0;40,0;10,0;21,98456115804612;0,39080754674597795;0,3949067389683079;0,21428571428571433;0,0;5,551115123125783e-15;0,9896198473770311;0,9118842757406149;0,9999999999999999;0,9999999999999999
13-А, сечение;1100,0;47,5;40,0;12,5;39,19295603535187;0,39046646371892413;0,3952478219953615;0,21428571428571425;0,0;-2,7755575615628914e-15;0,987902885201747;0,9110884153441564;1,0;0,9999999999999999
13-А, сечение;1100,0;45,0;40,0;15,0;56,36757793850546;0,3899559072448143;0,3957583784694713;0,21428571428571427;0,0;0,0;0,9853383490019919;0,9098971169045669;1,0;1,0
13-А, сечение;1100,0;42,5;40,0;17,5;73,47820175935806;0,3891134007048542;0,39660088500943147;0,21428571428571425;0,0;-2,7755575615628914e-15;0,9811208583046928;0,9079312683113264;1,0;0,9999999999999999
13-А, сечение;1100,0;40,0;40,0;20,0;89,73019634762079;0,38814883065031847;0,3975654550639673;0,21428571428571427;0,0;0,0;0,9763142790861099;0,9056806048507431;0,9999999999999998;1,0
13-А, сечение;1100,0;37,5;40,0;22,5;81,90897537553448;0,3920318851263114;0,3936824005879742;0,21428571428571422;0,0;-5,551115123125783e-15;0,9958074949268808;0,9147410652947265;0,9999999999999999;0,9999999999999998
13-А, сечение;1100,0;35,0;40,0;25,0;53,328471923901944;0,3948836865371034;0,3908305991771822;0,21428571428571427;0,0;0,0;1,0103704453245324;0,9213952685865746;1,0;1,0
13-А, сечение;1100,0;32,5;40,0;27,5;26,678598692681945;0,3960350548040876;0,38967923091019807;0,21428571428571427;0,0;0,0;1,0163103993996392;0,9240817945428712;1,0;1,0
13-А, сечение;1100,0;30,0;40,0;30,0;0,5912333122188562;0,3966839961341267;0,38903028958015895;0,21428571428571427;0,0;0,0;1,0196738062792685;0,925595990979629;0,9999999999999999;1,0
13-А, сечение;1100,0;47,5;42,5;10,0;11,632721887097906;0,3881488306503187;0,39756545506396695;0,21428571428571425;0,0;-2,7755575615628914e-15;0,9763142790861113;0,9056806048507436;0,9999999999999999;0,9999999999999999
13-А, сечение;1100,0;45,0;42,5;12,5;26,28093792861726;0,3881488306503158;0,3975654550639699;0,21428571428571427;0,0;0,0;0,9763142790860968;0,9056806048507369;1,0;1,0
13-А, сечение;1100,0;42,5;42,5;15,0;40,92915346728247;0,3881488306503236;0,3975654550639621;0,2142857142857143;0,0;2,7755575615628914e-15;0,9763142790861354;0,905680604850755;1,0;1,0
13-А, сечение;1100,0;40,0;42,5;17,5;55,57736957233866;0,38814883065031713;0,39756545506396845;0,21428571428571425;0,0;-2,7755575615628914e-15;0,9763142790861038;0,9056806048507401;0,9999999999999999;0,9999999999999999
13-А, сечение;1100,0;37,5;42,5;20,0;70,22558525351621;0,38814883065031736;0,39756545506396834;0,21428571428571427;0,0;0,0;0,9763142790861046;0,9056806048507405;1,0;1,0
13-А, сечение;1100,0;35,0;42,5;22,5;57,746451318054895;0,38818588055614106;0,3975284051581448;0,21428571428571433;0,0;5,551115123125783e-15;0,9764984728618648;0,9057670546309955;0,9999999999999999;0,9999999999999999
13-А, сечение;1100,0;32,5;42,5;25,0;29,342760907228172;0,39080503402478145;0,3949092516895042;0,21428571428571427;0,0;0,0;0,9896071878610996;0,9118784127244901;1,0;1,0
13-А, сечение;1100,0;30,0;42,5;27,5;2,1335262132864994;0,39246070416403706;0,3932535815502487;0,21428571428571427;0,0;0,0;0,997983801233072;0,9157416430494199;1,0;1,0
13-А, сечение;1100,0;42,5;45,0;12,5;6,776326337818834;0,3881488306503182;0,39756545506396745;0,21428571428571427;0,0;0,0;0,9763142790861089;0,9056806048507425;1,0;1,0
13-А, сечение;1100,0;40,0;45,0;15,0;21,424542159861893;0,3881488306503177;0,39756545506396807;0,21428571428571425;0,0;-2,7755575615628914e-15;0,9763142790861061;0,9056806048507413;1,0;0,9999999999999999
13-А, сечение;1100,0;37,5;45,0;17,5;36,072757342037285;0,3881488306503189;0,39756545506396673;0,21428571428571427;0,0;0,0;0,9763142790861125;0,9056806048507442;0,9999999999999999;1,0
13-А, сечение;1100,0;35,0;45,0;20,0;50,72097362197228;0,38814883065031786;0,39756545506396773;0,21428571428571427;0,0;0,0;0,9763142790861074;0,9056806048507418;0,9999999999999998;1,0
13-А, сечение;1100,0;32,5;45,0;22,5;29,977899061297258;0,38758938774271134;0,39812489797157424;0,21428571428571427;0,0;0,0;0,9735371731772096;0,9043752380663266;0,9999999999999999;1,0
13-А, сечение;1100,0;30,0;45,0;25,0;2,6137660034340553;0,3891756488984263;0,39653863681585927;0,21428571428571425;0,0;-2,7755575615628914e-15;0,9814318524506047;0,9080765140963282;0,9999999999999999;0,9999999999999999
13-А, сечение;1100,0;37,5;47,5;15,0;1,9199306660986368;0,38814883065031747;0,3975654550639682;0,21428571428571427;0,0;0,0;0,9763142790861052;0,9056806048507409;1,0;1,0
13-А, сечение;1100,0;35,0;47,5;17,5;16,568145969227306;0,3881488306503183;0,39756545506396734;0,21428571428571427;0,0;0,0;0,9763142790861093;0,9056806048507428;1,0;1,0
13-А, сечение;1100,0;32,5;47,5;20,0;27,315592440582137;0,38784579341454;0,3978684922997456;0,21428571428571427;0,0;0,0;0,9748090158452288;0,9049735179672601;1,0;1,0
