набор фаз;T, °C;фаза;мольная доля фазы, %;x(NI);x(CR);x(MO);x(AL);x(C);x(FE);x(MN);x(NB);x(S);x(SI);x(TI)
без P;664,0;M6C;0,1711348552300912;0,307983620850103;0,2349979862613393;0,31361257512084145;0,0;0,14285714285714285;0,0005486749104967371;0,0;0,0;0,0;7,650560806435401e-14;0,0
без P;664,0;MNS_Q;0,07434385066630529;0,0;0,0;0,0;0,0;0,0;3,5244192083602737e-07;0,4999996475580792;0,0;0,5;0,0;0,0
без P;664,0;SIGMA;6,30650023965304;0,2845395720091978;0,36306037930721263;0,32906391802754426;0,0;0,0;0,023144301485619703;0,00019182915031513786;0,0;0,0;2,0107985643232158e-11;2,666666666666662e-15
без P;700,0;FCC_A1;94,58065490561009;0,6482158390527923;0,2652965134466331;0,0673734284607687;0,0055944097608404434;6,143819576968865e-06;0,0043906171925782245;0,005330451635514542;0,00040501094806246873;9,999938561804025e-15;0,0022431372585888813;0,0011444484246343081
без P;700,0;GAMMA_PRIME;0,17887343205152995;0,7435125012424397;0,023328360940383902;0,00856867624087298;0,12906145139800915;0,0;0,0035257035940258036;0,0;0,0010213943297225532;0,0;0,00024463376286654767;0,09073727849167923
без P;700,0;M6C;0,16959997986648556;0,30831396078278633;0,23413400263813242;0,3140588711924221;0,0;0,14285714285714288;0,000636022529278815;0,0;0,0;0,0;2,374052778273403e-13;0,0
без P;700,0;MNS_Q;0,07434386543940893;0,0;0,0;0,0;0,0;0,0;6,644100500331847e-07;0,4999993355899499;0,0;0,5;0,0;0,0
без P;700,0;SIGMA;4,996527994362266;0,28608763380516145;0,3602246233088026;0,3299403881484231;0,0;0,0;0,023531260623836946;0,00021609406776831218;0,0;0,0;4,600509124085312e-11;2,666666666666665e-15
без P;750,0;FCC_A1;96,73191019155682;0,6409394057529294;0,2669090325971454;0,07257819983423809;0,005708649791259438;1,121351295374587e-05;0,004759925420683474;0,005215191905836703;0,00039789249406772613;9,999887864870444e-15;0,0021937036991706658;0,0012867849917052824
без P;750,0;M6C;0,16607466786923378;0,3087947396915705;0,23289898527598318;0,31467977413756737;0,0;0,14285714285714285;0,0007693580367350393;0,0;0,0;0,0;1,0010923074450757e-12;0,0
без P;750,0;MNS_Q;0,07434384625911829;0,0;0,0;0,0;0,0;0,0;1,4960606296160572e-06;0,49999850393937034;0,0;0,5;0,0;0,0
