фаза;T, °C;узел Ni, ат. %;узел Cr, ат. %;узел Mo, ат. %;фазовый набор;мольная доля фазы, %;Ni в фазе, ат. %;Cr в фазе, ат. %;Mo в фазе, ат. %;евклид, ат. % (до измеренной);Чебышёв, ат. % (до измеренной);ΔNi, ат. % (до измеренной);ΔCr, ат. % (до измеренной);ΔMo, ат. % (до измеренной);y(NI) подрешётки 1;y(MO) подрешётки 2;y(NI) подрешётки 2;y(MO) подрешётки 3;y(CR) подрешётки 2;y(CR) подрешётки 3;y(NI) подрешётки 3;y(CR) подрешётки 1;y(MO) подрешётки 1
SIGMA;700,0;17,5;67,5;15,0;BCC_B2 + P_PHASE + SIGMA;8,896485138736333;27,313836003099198;35,73255964609133;36,95360435080948;17,705644886337723;13,954337867869555;-10,248601559338361;13,954337867869555;-3,705736308531179;1,0;0,0005571744771234808;;0,6157695892963528;0,9994428255228766;0,37344425509643847;0,010786155607208817;;
SIGMA;700,0;15,0;67,5;17,5;BCC_B2 + P_PHASE + SIGMA;26,643839766663685;27,313836003099237;35,732559646089754;36,95360435081102;17,705644886336135;13,954337867867977;-10,248601559338322;13,954337867867977;-3,7057363085296373;1,0;0,0005571744771236402;;0,6157695892963786;0,9994428255228763;0,3734442550964124;0,010786155607209632;;
SIGMA;700,0;15,0;70,0;15,0;BCC_B2 + P_PHASE + SIGMA;13,991626985261998;27,313836003099194;35,73255964609114;36,95360435080967;17,705644886337534;13,954337867869363;-10,248601559338365;13,954337867869363;-3,7057363085309873;1,0;0,0005571744771235021;;0,6157695892963557;0,9994428255228763;0,3734442550964352;0,01078615560720859;;
SIGMA;700,0;15,0;72,5;12,5;BCC_B2 + P_PHASE + SIGMA;1,3394142012334374;27,31383600309926;35,73255964608943;36,95360435081132;17,7056448863358;13,95433786786765;-10,248601559338297;13,95433786786765;-3,705736308529339;0,9999999999999999;0,000557174477123676;;0,6157695892963833;0,9994428255228763;0,3734442550964068;0,010786155607209802;;
SIGMA;1100,0;15,0;5,0;80,0;BCC_B2 + FCC_A1 + SIGMA;2,955573037172895;32,66455469493822;15,135380979952004;52,20006432510977;14,188195557735462;11,540723665769114;-4,897882867499341;-6,6428407982697735;11,540723665769114;1,0;0,13017049788691973;;0,8410742947769583;0,8698295021130802;0,05896090475184882;0,09996480047119234;;
SIGMA;1100,0;40,0;7,5;52,5;BCC_B2 + FCC_A1 + SIGMA;1,3398674855791464;32,66455469493989;15,135380979948174;52,20006432511194;14,18819555773844;11,540723665771282;-4,897882867497671;-6,642840798273603;11,540723665771282;1,0;0,13017049788703045;;0,8410742947769695;0,8698295021129696;0,05896090475180949;0,09996480047122004;;
SIGMA;1100,0;37,5;7,5;55,0;BCC_B2 + FCC_A1 + SIGMA;4,434492465678774;32,66455469493891;15,135380979949323;52,200064325111775;14,188195557738108;11,540723665771118;-4,897882867498652;-6,642840798272454;11,540723665771118;1,0;0,1301704978869918;;0,8410742947769757;0,869829502113007;0,058960904751820496;0,09996480047120401;;
SIGMA;1100,0;35,0;7,5;57,5;BCC_B2 + FCC_A1 + SIGMA;7,529117406014447;32,66455469493835;15,135380979950236;52,200064325111406;14,188195557737572;11,540723665770749;-4,897882867499206;-6,642840798271541;11,540723665770749;0,9999999999999999;0,1301704978869656;;0,8410742947769755;0,8698295021130343;0,058960904751829586;0,0999648004711947;;
SIGMA;1100,0;32,5;7,5;60,0;BCC_B2 + FCC_A1 + SIGMA;10,623742374693885;32,66455469493844;15,135380979949996;52,20006432511157;14,188195557737787;11,540723665770912;-4,897882867499121;-6,642840798271781;11,540723665770912;1,0;0,13017049788697196;;0,8410742947769766;0,8698295021130291;0,058960904751826755;0,09996480047119594;;
SIGMA;1100,0;30,0;7,5;62,5;BCC_B2 + FCC_A1 + SIGMA;13,718367364183576;32,66455469493834;15,135380979950005;52,20006432511165;14,188195557737881;11,54072366577099;-4,89788286749922;-6,642840798271772;11,54072366577099;0,9999999999999994;0,13017049788697047;;0,8410742947769786;0,869829502113029;0,05896090475182699;0,0999648004711948;;
SIGMA;1100,0;27,5;7,5;65,0;BCC_B2 + FCC_A1 + SIGMA;16,812992330151495;32,664554694938666;15,13538097994987;52,20006432511146;14,18819555773768;11,540723665770805;-4,897882867498893;-6,642840798271907;11,540723665770805;0,9999999999999999;0,13017049788697718;;0,8410742947769739;0,8698295021130225;0,058960904751826144;0,09996480047120003;;
SIGMA;1100,0;25,0;7,5;67,5;BCC_B2 + FCC_A1 + SIGMA;19,907617265832542;32,664554694939035;15,135380979949034;52,200064325111924;14,188195557738322;11,540723665771267;-4,897882867498524;-6,6428407982727435;11,540723665771267;0,9999999999999998;0,13017049788700205;;0,8410742947769764;0,8698295021129978;0,05896090475181777;0,0999648004712064;;
SIGMA;1100,0;22,5;7,5;70,0;BCC_B2 + FCC_A1 + SIGMA;23,00224229007901;32,66455469493899;15,135380979949181;52,200064325111825;14,188195557738185;11,540723665771168;-4,897882867498566;-6,642840798272596;11,540723665771168;0,9999999999999999;0,13017049788699844;;0,8410742947769746;0,8698295021130015;0,05896090475181917;0,09996480047120497;;
SIGMA;1100,0;20,0;7,5;72,5;BCC_B2 + FCC_A1 + SIGMA;26,096867262200917;32,66455469493892;15,13538097994929;52,200064325111796;14,188195557738135;11,54072366577114;-4,897882867498637;-6,642840798272488;11,54072366577114;1,0;0,13017049788699453;;0,8410742947769755;0,8698295021130052;0,058960904751820246;0,09996480047120414;;
SIGMA;1100,0;17,5;7,5;75,0;BCC_B2 + FCC_A1 + SIGMA;29,19149224269398;32,66455469493871;15,135380979949817;52,20006432511147;14,188195557737696;11,540723665770813;-4,897882867498851;-6,64284079827196;11,540723665770813;1,0;0,1301704978869784;;0,841074294776974;0,8698295021130216;0,058960904751825534;0,09996480047120082;;
SIGMA;1100,0;15,0;7,5;77,5;BCC_B2 + FCC_A1 + SIGMA;32,286117185388875;32,664554694938936;15,135380979949232;52,20006432511183;14,188195557738187;11,540723665771175;-4,897882867498623;-6,642840798272545;11,540723665771175;0,9999999999999993;0,13017049788699503;;0,8410742947769764;0,8698295021130041;0,05896090475181966;0,0999648004712048;;
SIGMA;1100,0;62,5;10,0;27,5;BCC_B2 + FCC_A1 + SIGMA;2,8187868524561366;32,66455469493919;15,135380979948627;52,20006432511219;14,188195557738672;11,54072366577153;-4,897882867498367;-6,64284079827315;11,54072366577153;0,9999999999999999;0,1301704978870141;;0,8410742947769778;0,869829502112986;0,05896090475181357;0,09996480047120884;;
