"Радиус класса, нм","Число частиц в классе, 1/м³"
12.9638125,1.4612060724577514e+20
13.0751875,1.423303513205761e+20
13.186562499999999,1.3808241127331665e+20
13.2979375,1.3339606034102167e+20
13.4093125,1.2829717288581834e+20
13.520687500000001,1.2281825997857006e+20
13.6320625,1.1699832905487802e+20
13.7434375,1.1088254959263601e+20
13.8548125,1.0452171294777698e+20
13.9661875,9.797148245033022e+19
14.077562499999999,9.12914394003784e+19
14.1889375,8.454394133129855e+19
14.300312499999999,7.77928202638276e+19
14.4116875,7.11019599331842e+19
14.523062499999998,6.453380127929768e+19
14.634437499999999,5.8147833928214634e+19
14.7458125,5.199913705827579e+19
14.8571875,4.613703514760718e+19
14.9685625,4.060393206432807e+19
15.079937499999998,3.5434380520721134e+19
15.191312500000002,3.0654433180283347e+19
15.3026875,2.628130721087728e+19
15.414062500000004,2.2323376752178123e+19
15.5254375,1.8780488887680954e+19
15.636812500000001,1.5644579787826274e+19
15.748187500000002,1.2900550307303854e+19
15.8595625,1.0527345967971123e+19
15.970937500000003,8.499176164339382e+18
16.0823125,6.786802403727649e+18
16.193687500000003,5.358825740120908e+18
16.305062500000002,4.1829090372479145e+18
16.416437499999997,3.2268795527700634e+18
16.527812500000003,2.459670416548454e+18
16.6391875,1.8520744729961114e+18
16.750562500000004,1.377299186491703e+18
16.8619375,1.0113254881380004e+18
16.973312500000002,7.330854436926907e+17
17.0846875,5.244826763310482e+17
17.1960625,3.702852190534968e+17
17.307437500000002,2.579229284634091e+17
17.4188125,1.772211246840087e+17
17.530187500000004,1.2009932800636574e+17
17.641562500000003,8.025956345061682e+16
17.752937499999998,5.288343950988473e+16
17.864312500000004,3.4351745044423972e+16
17.9756875,2.1995183369194932e+16
18.087062500000002,1.388044548419488e+16
18.1984375,8632318714592611.0
18.3098125,5289989006674552.0
18.421187500000002,3194067057469699.5
18.532562499999997,1900017522593772.5
18.643937500000003,1113426154530557.4
18.7553125,642724505756569.1
18.866687500000005,365443883603299.9
18.9780625,204656238038522.78
19.0894375,112879989422204.23
19.2008125,61316721965359.82
19.3121875,32801686880383.46
19.423562500000003,17280522100378.406
19.5349375,8965032812858.826
19.6463125,4580098439670.313
19.757687500000003,2304208390992.935
19.8690625,1141540312903.8025
19.980437500000004,556908936548.9401
20.0918125,267549202050.99554
20.203187500000006,126577029904.10347
20.3145625,58971905454.61677
20.4259375,27057247465.82428
20.537312500000002,12225911854.026472
20.6486875,5440650523.078763
20.760062500000004,2384551401.080735
20.871437500000003,1029353965.2528449
20.9828125,437665529.7904223
21.0941875,183298197.00147545
21.2055625,75619226.65371402
21.3169375,30731624.28145031
21.4283125,12303822.579776563
21.539687500000003,4853093.130055241
21.651062500000002,1886011.5530417638
21.762437499999997,722170.9534944221
21.873812500000003,272474.78817124554
21.9851875,101301.81361936152
22.096562500000005,37111.344467692936
22.2079375,13394.599234053723
22.319312500000002,4760.369820401653
22.4306875,1662.7979845475882
22.5420625,567.6417647820969
22.653437500000003,185.79370014313304
22.7648125,54.46021206369946
22.876187500000004,9.496475240942154
22.987562500000003,0.0
23.098937499999998,0.0
23.210312500000004,0.0
23.3216875,0.0
23.433062500000005,0.0
23.5444375,0.0
23.655812500000003,0.0
23.767187500000002,0.0
23.8785625,0.0
23.989937500000003,0.0
24.1013125,0.0
24.212687500000005,0.0
24.3240625,0.0
24.4354375,0.0
24.5468125,0.0
24.6581875,0.0
24.769562500000003,0.0
24.8809375,0.0
24.9923125,0.0
25.103687500000003,0.0
25.2150625,0.0
25.326437500000004,0.0
25.4378125,0.0
25.549187500000006,0.0
25.6605625,0.0
25.7719375,0.0
25.883312500000002,0.0
25.9946875,0.0
26.106062500000004,0.0
26.217437500000003,0.0
26.3288125,0.0
26.440187500000004,0.0
26.5515625,0.0
26.6629375,0.0
26.7743125,0.0
26.885687500000003,0.0
26.997062500000002,0.0
27.1084375,0.0
27.219812500000003,0.0
27.3311875,0.0
27.442562500000005,0.0
