generating points... ALPHA_MN BETA_MN BETA_RHOMBO_B CEMENTITE CHI_A12 CR3MN5 CU2S DELTA DIAMOND_A4 DIGENITE DISULF D_NIMO ETA FCC_A1 FC_MONO FC_ORTHO FES_P GAMMA_DP GAMMA_PRIME GRAPHITE G_PHASE HCP_A3 KSI_CARBIDE LAVES LAV_C14 LIQUID M23C6 M23C6_WY M3C2 M6C M6C_WY M7C3 MNS_Q MOB2 MU_PHASE NBB NI2CR NIAL NITI2 PYRR P_PHASE R_PHASE SIGMA TI4C2S2 TIB TIB2 TIS ZET done
Adding points to LIQUID. Adding points to FCC_A1. T=1635.372, X_AL=0.01, X_C=0.00, X_CR=0.29, X_FE=0.00, X_MN=0.00, X_MO=0.09, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00, ΔT=0.500, NL: 0.375, NP(LIQUID)=0.974 NP(FCC_A1)=0.026 
Adding points to LIQUID. Adding points to FCC_A1. T=1634.872, X_AL=0.01, X_C=0.00, X_CR=0.29, X_FE=0.00, X_MN=0.00, X_MO=0.09, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00, ΔT=0.500, NL: 0.365, NP(LIQUID)=0.974 NP(FCC_A1)=0.026 
Adding points to LIQUID. Adding points to FCC_A1. T=1634.372, X_AL=0.01, X_C=0.00, X_CR=0.29, X_FE=0.00, X_MN=0.00, X_MO=0.10, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00, ΔT=0.500, NL: 0.355, NP(LIQUID)=0.974 NP(FCC_A1)=0.026 
Adding points to LIQUID. Adding points to FCC_A1. T=1633.872, X_AL=0.01, X_C=0.00, X_CR=0.29, X_FE=0.00, X_MN=0.00, X_MO=0.10, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00, ΔT=0.500, NL: 0.346, NP(LIQUID)=0.974 NP(FCC_A1)=0.026 
Adding points to LIQUID. Adding points to FCC_A1. T=1633.372, X_AL=0.01, X_C=0.00, X_CR=0.29, X_FE=0.00, X_MN=0.00, X_MO=0.10, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00, ΔT=0.500, NL: 0.337, NP(LIQUID)=0.975 NP(FCC_A1)=0.025 
Adding points to LIQUID. Adding points to FCC_A1. T=1632.872, X_AL=0.01, X_C=0.00, X_CR=0.29, X_FE=0.00, X_MN=0.00, X_MO=0.10, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00, ΔT=0.500, NL: 0.329, NP(LIQUID)=0.975 NP(FCC_A1)=0.025 
Adding points to LIQUID. Adding points to FCC_A1. T=1632.372, X_AL=0.01, X_C=0.00, X_CR=0.29, X_FE=0.00, X_MN=0.00, X_MO=0.10, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00, ΔT=0.500, NL: 0.321, NP(LIQUID)=0.975 NP(FCC_A1)=0.025 
Adding points to TIS. Adding points to FCC_A1. New phases seen: {'TIS'}. No liquid phase found at T=1631.872, X_AL=0.01, X_C=0.00, X_CR=0.29, X_FE=0.00, X_MN=0.00, X_MO=0.10, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00. (Found {'FCC_A1', 'TIS'}) Stepping back and reducing step size.
Adding points to LIQUID. Adding points to FCC_A1. T=1631.956, X_AL=0.01, X_C=0.00, X_CR=0.29, X_FE=0.00, X_MN=0.00, X_MO=0.10, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00, ΔT=0.417, NL: 0.314, NP(LIQUID)=0.979 NP(FCC_A1)=0.021 
Adding points to FCC_A1. Adding points to LIQUID. T=1631.539, X_AL=0.01, X_C=0.00, X_CR=0.29, X_FE=0.00, X_MN=0.00, X_MO=0.10, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00, ΔT=0.417, NL: 0.308, NP(LIQUID)=0.980 NP(FCC_A1)=0.020 
Adding points to FCC_A1. Adding points to LIQUID. T=1631.122, X_AL=0.01, X_C=0.00, X_CR=0.29, X_FE=0.00, X_MN=0.00, X_MO=0.10, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00, ΔT=0.417, NL: 0.301, NP(LIQUID)=0.980 NP(FCC_A1)=0.020 
Adding points to FCC_A1. Adding points to LIQUID. T=1630.706, X_AL=0.01, X_C=0.00, X_CR=0.29, X_FE=0.00, X_MN=0.00, X_MO=0.10, X_NB=0.00, X_S=0.00, X_SI=0.00, X_TI=0.00, ΔT=0.417, NL: 0.295, NP(LIQUID)=0.980 NP(FCC_A1)=0.020 
