T, °C;доля твёрдого;точка посчитана;x(LIQUID,AL);x(LIQUID,C);x(LIQUID,CR);x(LIQUID,FE);x(LIQUID,MN);x(LIQUID,MO);x(LIQUID,NB);x(LIQUID,NI);x(LIQUID,S);x(LIQUID,SI);x(LIQUID,TI);накоплено FCC_A1;накоплено MNS_Q;накоплено SIGMA;накоплено TI4C2S2;накоплено TIS
1364,01220703125;0,5006865455518121;True;0,0056001725958042675;0,00047570242294652556;0,2801157029623128;0,004848123544485747;0,007011639096093079;0,09034384207852715;0,0006143229138552423;0,605949070500981;0,0007444600843088648;0,0025728274939169644;0,001724136306768453;0,5006865455518121;0,0;0,0;0,0;0,0
1363,51220703125;0,5144349748695973;True;0,005601894715737017;0,0004883237473731613;0,2805444366624477;0,004827446178450959;0,007083168833681722;0,09075351408236934;0,0006260997596372838;0,6049677100293634;0,0007655389134851916;0,0025950548958008695;0,0017468121816532288;0,5144349748695973;0,0;0,0;0,0;0,0
1363,01220703125;0,5276759474522971;True;0,005603476999965966;0,0005011520551816588;0,280968539405948;0,004806895624632975;0,007154615435006526;0,0911610140333092;0,0006379929447568963;0,603992341203976;0,0007869997414964851;0,002617416955106884;0,0017695556006193714;0,5276759474522971;0,0;0,0;0,0;0,0
1362,51220703125;0,5404322781667487;True;0,005604921487039953;0,0005141880525969042;0,28138806685497797;0,0047864719584684;0,007225974096225996;0,09156634362783195;0,0006500020313402134;0,6030229109934574;0,0008088446494215989;0,0026399113029027094;0,001792364945736759;0,5404322781667487;0,0;0,0;0,0;0,0
1362,01220703125;0,5527255873053529;True;0,0056062301855868135;0,0005274324146934585;0,28180307382718545;0,0047661752253105915;0,00729724011804914;0,09196950478681704;0,0006621265704900235;0,6020593669976495;0,0008310756618603827;0,002662535593152138;0,0018152386192055836;0,5527255873053529;0,0;0,0;0,0;0,0
1361,51220703125;0,564576371483769;True;0,005607405083043648;0,0005408857833187509;0,28221361430781705;0,0047460054415493875;0,007368408904796777;0,09237049964887166;0,0006743661025904829;0,6011016574359135;0,0008536947469686847;0,002685287501762325;0,0018381750433675663;0,564576371483769;0,0;0,0;0,0;0,0
1361,01220703125;0,5760040698169546;True;0,005608448130216316;0,0005545487693612458;0,2826197414750218;0,004725962595395962;0,0074394759629686094;0,09276933057010185;0,0006867201576102743;0,6001497311355011;0,0008767038167779576;0,002708164726530853;0,001861172660514087;0,5760040698169546;0,0;0,0;0,0;0,0
1360,51220703125;0,5870271257834723;True;0,005609361255294574;0,0005684219516428177;0,2830215077038425;0,004706046648013908;0,007510436899829545;0,09316600011434548;0,0006991882554665116;0,5992035375249334;0,0009001047272945461;0,002731164986158156;0,0018842299331787208;0,5870271257834723;0,0;0,0;0,0;0,0
1360,01220703125;0,5976630450719463;True;0,005610146361079852;0,0005825058779732847;0,2834189645835698;0,004686257534387667;0,0075812874219550195;0,09356051104764665;0,00071176990634766;0,5982630266244279;0,0009238992788097297;0,002754286019824082;0,0019073453439784596;0,5976630450719463;0,0;0,0;0,0;0,0
1359,51220703125;0,6079284497126693;True;0,005610805320794655;0,0005968010649533242;0,28381216293607564;0,0046665951643167615;0,007652023333943346;0,09395286633748061;0,0007244646109718198;0,5973281490331409;0,0009480892160076386;0,0027775255867941813;0,0019305173955212022;0,6079284497126693;0,0;0,0;0,0;0,0
