T, °C;доля твёрдого;точка посчитана;x(LIQUID,AL);x(LIQUID,C);x(LIQUID,CR);x(LIQUID,FE);x(LIQUID,MN);x(LIQUID,MO);x(LIQUID,NB);x(LIQUID,NI);x(LIQUID,S);x(LIQUID,SI);x(LIQUID,TI);накоплено FCC_A1;накоплено MNS_Q;накоплено SIGMA;накоплено TIS
1368,22216796875;0,47311608860759036;True;0,005609900230085293;0,00045249536024164963;0,28004331539965993;0,004901655675219389;0,002755708689197502;0,0895955817905726;0,000592424067055015;0,6111347560860975;0,0007056513016901343;0,0025272878806643253;0,0016812235195167436;0,47311608860759036;0,0;0,0;0,0
1367,72216796875;0,4887419388750206;True;0,005612627612287721;0,0004654590293620752;0,280544440498265;0,004880100553435112;0,0027863663851009886;0,0900347660723644;0,0006046688150103587;0,6100889080841251;0,0007272184644483778;0,0025503784488083653;0,0017050660367925903;0,4887419388750206;0,0;0,0;0,0
1367,22216796875;0,5037456406246708;True;0,005615190522907664;0,00047865112882131567;0,28104026463912635;0,00485868260678192;0,0028169897501153797;0,0904714569354559;0,0006170433801377198;0,6090499072359773;0,000749205079005199;0,002573626162195292;0,0017289825594761948;0,5037456406246708;0,0;0,0;0,0
1366,72216796875;0,5181573120208164;True;0,005617591408582727;0,0004920723934954843;0,281530852016901;0,00483740207734005;0,0028475762384456453;0,09090565495367792;0,0006295471618763325;0,6080176914029195;0,0007716133922791153;0,0025970279953350067;0,0017529709591470395;0,5181573120208164;0,0;0,0;0,0
1366,22216796875;0,5320053777317209;True;0,0056198326863970026;0,0005057235130033077;0,28201626588555545;0,004816259162689019;0,0028781233646338095;0,09133736108613402;0,0006421795447977803;0,6069921990915215;0,0007944455725184347;0,0026205809563277587;0,0017770291364222256;0,5320053777317209;0,0;0,0;0,0
1365,72216796875;0,5453166764420195;True;0,005621916738099738;0,0005196051339975532;0,28249656857419025;0,004795254017580531;0,002908628702680317;0,09176657667048602;0,0006549398990439471;0,6059733694474708;0,0008177037096385112;0,002644282085825305;0,0018011550209868993;0,5453166764420195;0,0;0,0;0,0
1365,22216796875;0,5581165610466076;True;0,005623845913837984;0,0005337178592843666;0,28297182150273503;0,004774386755291893;0,00293908988535261;0,09219330341137655;0,0006678275809331171;0,6049611422475558;0,0008413898156930703;0,0026681284563170025;0,0018253465716226776;0,5581165610466076;0,0;0,0;0,0
1364,72216796875;0,5704289914623234;True;0,005625622532989156;0,000548062249107332;0,2834420851949688;0,004753657449319269;0,0029695046033735724;0,09261754336918258;0,0006808419334832147;0,6039554578946054;0,0008655058252812643;0,0026921171712231055;0,0018496017764666154;0,5704289914623234;0,0;0,0;0,0
1364,22216796875;0,5822766213315432;True;0,005627248882050986;0,0005626388209291717;0,28390741929745283;0,004733066134579968;0,0029998706046664527;0,0930392989525176;0,0006939822868551414;0,6029562574076852;0,0008900535961799465;0,0027162453643227685;0,0018739186527599269;0,5822766213315432;0,0;0,0;0,0
1363,72216796875;0,5936808785530249;True;0,005628727221018424;0,0005774480507027899;0,2843678825854479;0,004712612808991273;0,0030301856934902426;0,09345857290595554;0,0007072479589271802;0,6019634824198973;0,0009150349098352252;0,0027405101986905443;0,0018982952470436942;0,5936808785530249;0,0;0,0;0,0
