T, °C;фаза;статус данных;мольная доля, %;массовая доля, %;плотность фазы, кг/м³;модель плотности;примечание;диагностика
350,0;MNS_Q;оценка по правилу смеси;0,07434380062421247;0,05426553524450561;3876,4356341333896;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
350,0;MU_PHASE;оценка по правилу смеси;0,03748824675494137;0,04718782494149402;9350,174174028747;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
400,0;NI2CR;оценка по правилу смеси;80,28866023198114;80,84112229126508;8394,77022635676;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
400,0;FCC_A1;прямая модель;11,247284136687513;10,7805347489909;8206,459876098448;FCC_A1;Прямая DP-модель из physical_data.pdb.;
400,0;GAMMA_PRIME;оценка по связанной фазе;4,1713305110186285;3,8118489805101046;7403,854730588876;FCC_A1;Плотность оценена по разупорядоченной ГЦК-модели FCC_A1.;
400,0;P_PHASE;оценка по правилу смеси;4,0141162180861185;4,326481118651431;8511,043466392457;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
400,0;M23C6_WY;оценка по связанной фазе;0,11991188308791596;0,09126565080498339;6848,651398939596;M23C6;Использована общая модель карбида M23C6.;
400,0;DELTA;оценка по правилу смеси;0,08435332657389247;0,09448164254953115;8746,701301417681;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
400,0;MNS_Q;оценка по правилу смеси;0,07434384478449203;0,05426556722800162;3838,5766098898375;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
450,0;NI2CR;оценка по правилу смеси;67,610234470053;67,73301600834895;8360,346464161594;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
450,0;FCC_A1;прямая модель;16,930835070565458;16,312962628481703;8225,005689209884;FCC_A1;Прямая DP-модель из physical_data.pdb.;
450,0;P_PHASE;оценка по правилу смеси;11,300541740770415;12,179544832854274;8488,774387698444;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
450,0;GAMMA_PRIME;оценка по связанной фазе;3,9641373690933515;3,6213937429349308;7382,937763157334;FCC_A1;Плотность оценена по разупорядоченной ГЦК-модели FCC_A1.;
450,0;M23C6;прямая модель;0,11990759880680395;0,09881721131235517;7050,382433198991;M23C6;Прямая DP-модель из physical_data.pdb.;
450,0;MNS_Q;оценка по правилу смеси;0,07434385681024451;0,05426557606778688;3800,667033556721;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
500,0;NI2CR;оценка по правилу смеси;43,819307643733836;43,67757206428763;8321,099860727643;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
500,0;FCC_A1;прямая модель;33,18527055615894;32,10836330976308;8231,116270897106;FCC_A1;Прямая DP-модель из physical_data.pdb.;
500,0;P_PHASE;оценка по правилу смеси;19,7508566149027;21,285651503877126;8465,040637507902;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
500,0;GAMMA_PRIME;оценка по связанной фазе;3,0503507884494416;2,77530266469765;7304,2617801992965;FCC_A1;Плотность оценена по разупорядоченной ГЦК-модели FCC_A1.;
500,0;M23C6;прямая модель;0,11987067378736585;0,0988448877413724;7030,823971964173;M23C6;Прямая DP-модель из physical_data.pdb.;
500,0;MNS_Q;оценка по правилу смеси;0,07434384801902769;0,05426556963314441;3762,7066913692233;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
550,0;FCC_A1;прямая модель;68,66377655641126;66,58088182927278;8213,845151913281;FCC_A1;Прямая DP-модель из physical_data.pdb.;
550,0;P_PHASE;оценка по правилу смеси;29,440771894209444;31,723176160408663;8438,84723047095;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
550,0;GAMMA_PRIME;оценка по связанной фазе;1,7014570172093808;1,5431487203185086;7194,549550353433;FCC_A1;Плотность оценена по разупорядоченной ГЦК-модели FCC_A1.;
550,0;M23C6;прямая модель;0,11965090869520993;0,09852770794413392;7009,561693190311;M23C6;Прямая DP-модель из physical_data.pdb.;
550,0;MNS_Q;оценка по правилу смеси;0,07434386480436554;0,054265582055900805;3724,695353439684;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
600,0;FCC_A1;прямая модель;71,21013935600608;69,25065655680464;8190,314003070351;FCC_A1;Прямая DP-модель из physical_data.pdb.;
