,"Время, ч","AL, матрица, ат.%","CR, матрица, ат.%","NI, матрица, ат.%"
84,1.3942024959212341e-05,9.39702289020242,8.4592964737909426,82.143680636006636
85,1.4173825517122003e-05,9.3919131153385074,8.4613461303273407,82.146740754334147
86,1.4413033703666398e-05,9.3868700111600809,8.4633712632968336,82.14975872554308
87,1.4659403800077673e-05,9.3818928617449782,8.4653720791529476,82.152735059102071
88,1.4912728601504407e-05,9.3769809772669888,8.4673487759697696,82.15567024676325
89,1.5172837875760257e-05,9.3721319188817755,8.4693022157644204,82.158565865353808
90,1.5439611636681091e-05,9.3673450276945562,8.4712326308470836,82.161422341458362
91,1.5712961098927516e-05,9.3626196877211676,8.4731401737505596,82.164240138528271
92,1.5992825745256859e-05,9.3579552902786336,8.4750250185191884,82.167019691202171
93,1.6279170445391167e-05,9.3533512569704058,8.4768873288171989,82.169761414212388
94,1.6571982538897737e-05,9.3488070389399116,8.4787272580974875,82.172465702962597
95,1.6871269106250726e-05,9.3443221160530552,8.4805449498648855,82.175132934082058
96,1.7177054463210145e-05,9.3398959960829657,8.4823405379387253,82.177763465978316
97,1.7489377889719392e-05,9.3355282139021867,8.4841141467121801,82.180357639385633
98,1.7808291589389745e-05,9.3312183306824519,8.4858658914083236,82.18291577790923
99,1.8133858865977809e-05,9.3269659331021302,8.4875958783331598,82.185438188564703
100,1.8466152498015113e-05,9.3227706325578019,8.4893042051266505,82.187925162315551
101,1.8805218465855178e-05,9.3186324177659046,8.490990815366974,82.190376766867118
102,1.9150943084377371e-05,9.3145528942269067,8.4926549880416804,82.1927921177314
103,1.9503405440108681e-05,9.3105316926650534,8.4942968229322258,82.195171484402721
104,1.9862688059376202e-05,9.3050565186779508,8.4964670702538694,82.198476411068171
105,2.0249928186547752e-05,9.2999549850853604,8.4985624692439323,82.2014825456707
106,2.0659503846723264e-05,9.2949942013911926,8.5005631158420325,82.204442682766782
107,2.1089843043603434e-05,9.2901318335859759,8.5025259187854196,82.207342247628603
108,2.1539879610139895e-05,9.2853664865759971,8.5044513480112514,82.210182165412746
109,2.2008644921682969e-05,9.2806968393207985,8.5063398192817878,82.212963341397412
110,2.2495285097557548e-05,9.2761216385829623,8.5081917235988147,82.215686637818223
111,2.299906601721944e-05,9.2716397118889482,8.5100074216443744,82.218352866466688
112,2.3519369553529569e-05,9.2672499730236009,8.5117872412794977,82.220962785696912
113,2.405568424865091e-05,9.262950761886783,8.5135317224029485,82.22351751571027
114,2.4607607553266949e-05,9.2587392229458985,8.5152419022665473,82.226018874787556
115,2.5174861104022268e-05,9.2546147115564477,8.5169179673712296,82.228467321072316
116,2.5757226680156593e-05,9.250576510904418,8.5185600771562608,82.230863411939325
117,2.635453770820722e-05,9.2466239391378693,8.5201684044687678,82.233207656393375
118,2.6966668219301011e-05,9.2427563652768043,8.5217431026701114,82.235500532053081
119,2.7593522572828205e-05,9.2389731979277592,8.5232843101179263,82.237742491954307
120,2.8235026416840601e-05,9.235273874321857,8.5247921545651586,82.239933971112976
121,2.8891118825664879e-05,9.2316578497845114,8.5262667574142199,82.242075392801269
122,2.9561745522247174e-05,9.2281245876824531,8.5277082378078113,82.244167174509727
123,3.0246853082514234e-05,9.2246735498691752,8.5291167165478701,82.246209733582958
124,3.0946384020416972e-05,9.2213041876442645,8.5304923198358935,82.248203492519849
125,3.1660204608560101e-05,9.2180161801309701,8.5318350803374088,82.250148739531625
126,3.2387819811435331e-05,9.214810356841145,8.5331445558619095,82.252045087296949
127,3.3129119123195196e-05,9.2116859803499747,8.534420964264962,82.253893055385063
128,3.3883974862409663e-05,9.2072508220048395,8.5361724793382976,82.256576698656872
129,3.4701164449064221e-05,9.2032925699075054,8.5378108714629377,82.258896558629559
130,3.5563512672523586e-05,9.1995350104757048,8.5393227555045712,82.261142234019729
131,3.6465727213103047e-05,9.1959249707286759,8.5407740671561267,82.26330096211521
132,3.7404092134689062e-05,9.1924558983194373,8.5421673596014109,82.265376742079141
133,3.8375278030897788e-05,9.1891216062426775,8.5435050073169947,82.267373386440326
134,3.9376354325553602e-05,9.1859162916543795,8.5447892376212309,82.26929447072439
135,4.040476821898257e-05,9.1828345409959642,8.5460221279987838,82.271143331005248
136,4.1458305363742947e-05,9.1798713012355808,8.547205617633054,82.272923081131367
137,4.2535043712275328e-05,9.1770218342657799,8.5483415260895459,82.274636639644669
138,4.3633307679707518e-05,9.1742809224626338,8.5494318499020743,82.276287227635294
139,4.4751666076436173e-05,9.1716439112647752,8.5504784256143456,82.277877663120876
140,4.5888876083100059e-05,9.1691069244577577,8.5514827329040468,82.279410342638187
141,4.7043821307719063e-05,9.1666661513704391,8.5524462441104987,82.280887604519066
142,4.8215493319738377e-05,9.164317874508793,8.5533704092521941,82.282311716239008
143,4.9402974884873578e-05,9.1620584575893051,8.5542566553254922,82.283684887085201
144,5.0605427160224592e-05,9.1598843339477156,8.5551063909577216,82.285009275094566
145,5.1822080206345701e-05,9.1577920003104047,8.555921008759384,82.286286990930208
146,5.305222607102701e-05,9.1557780147826993,8.556701885847577,82.287520099369729
147,5.4295213807842912e-05,9.1538389979877781,8.5574503829862945,82.288710619025935
148,5.5550445842998454e-05,9.1519716364803561,8.5581678427176797,82.289860520801966
149,5.6817375635080605e-05,9.1501726872369229,8.5588555869796874,82.290971725783393
150,5.8095505383567981e-05,9.1484389835483189,8.5595149141135245,82.292046102338162
151,5.9384384762365577e-05,9.146767440465041,8.5601470960107289,82.293085463524235
152,6.0683609574115917e-05,9.1451550603836704,8.5607533751846088,82.294091564431724
153,6.1992820566767961e-05,9.1435989380732163,8.5613349620670984,82.295066099859682
154,6.3311702264374383e-05,9.1420962650067246,8.5618930325959024,82.296010702397368
155,6.4639981758684347e-05,9.1406443328696181,8.562428726154744,82.296926940975638
