"Температура, °C","Доля расплава, %","AL, ат.%","AL, мас.%","FE, ат.%","FE, мас.%","MG, ат.%","MG, мас.%","MN, ат.%","MN, мас.%","SI, ат.%","SI, мас.%"
780.0000000000001,100.0,91.51275130282558,91.08662994201117,0.12153064517962217,0.25037556358795326,0.5584959450498247,0.5007511294536032,0.07412488914937708,0.15022533797867654,7.733097217795611,8.012018026968601
775.0000000000001,100.0,91.51275130569705,91.08662994470271,0.12153064507107833,0.250375563363875,0.5584959421954411,0.5007511268934285,0.07412488916241462,0.15022533800482435,7.733097217874016,8.012018027035182
770.0000000000001,100.0,91.51275130499384,91.08662994404395,0.12153064509723523,0.25037556341787626,0.5584959428950564,0.5007511275209345,0.0741248891592822,0.15022533799854396,7.7330972178545965,8.012018027018685
765.0000000000001,100.0,91.5127513059249,91.0866299449167,0.1215306450619484,0.2503755633450305,0.558495941969351,0.5007511266906445,0.0741248891635436,0.1502253380070913,7.7330972178802595,8.012018027040527
760.0000000000001,100.0,91.51275130592624,91.08662994491743,0.12153064506249692,0.2503755633461589,0.5584959419674954,0.5007511266889773,0.07412488916345533,0.15022533800691143,7.733097217880311,8.012018027040526
755.0000000000001,100.0,91.5127513060198,91.0866299450004,0.12153064506325992,0.25037556334770295,0.5584959418698824,0.500751126601401,0.0741248891640089,0.1502253380080166,7.733097217883059,8.012018027042481
750.0000000000001,100.0,91.51275130493457,91.08662994398674,0.1215306451026597,0.2503755634290566,0.5584959429529491,0.5007511275728513,0.0741248891574735,0.1502253379948813,7.733097217852338,8.012018027016502
745.0000000000001,100.0,91.5127513065021,91.08662994545188,0.12153064504405307,0.25037556330805477,0.5584959413893394,0.5007511261703859,0.07412488916771569,0.15022533801548182,7.733097217896791,8.012018027054195
740.0000000000001,100.0,91.51275130618363,91.08662994514815,0.12153064506335005,0.2503755633478465,0.5584959417012245,0.500751126450097,0.07412488916389547,0.1502253380077614,7.733097217887902,8.01201802704615
735.0000000000001,100.0,91.51275130582168,91.08662994481986,0.12153064506623258,0.25037556335387295,0.5584959420719061,0.5007511267826282,0.07412488916279839,0.15022533800559076,7.733097217877372,8.012018027038053
